"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"761","j","true","180","0","or","null","incongruent"
"1139","f","false","0","0","or","repetition","congruent"
"651","j","true","0","0","or","repetition","congruent"
"1460","f","true","180","0","mov","switch","incongruent"
"755","j","true","0","0","mov","repetition","congruent"
"738","f","false","0","0","or","switch","congruent"
"772","j","false","180","180","or","repetition","congruent"
"1154","j","true","0","0","mov","switch","congruent"
"659","f","true","180","180","mov","repetition","congruent"
"1298","j","true","0","0","mov","repetition","congruent"
"898","f","true","180","0","mov","repetition","incongruent"
"947","j","true","180","0","or","switch","incongruent"
"1076","f","false","0","180","mov","switch","incongruent"
"1375","j","true","180","0","or","switch","incongruent"
"679","f","true","0","180","or","repetition","incongruent"
"1016","j","true","0","0","mov","switch","congruent"
"852","f","true","180","180","mov","repetition","congruent"
"987","f","true","0","180","or","switch","incongruent"
"727","j","false","180","180","or","repetition","congruent"
"907","j","true","0","180","mov","switch","incongruent"
"827","j","false","0","180","or","switch","incongruent"
"1345","j","false","180","180","or","repetition","congruent"
"690","f","true","180","180","mov","switch","congruent"
"814","f","true","180","0","mov","repetition","incongruent"
"753","j","true","180","0","or","switch","incongruent"
"625","j","true","0","0","mov","switch","congruent"
"715","f","true","0","180","or","switch","incongruent"
"560","j","true","0","180","mov","switch","incongruent"
"527","f","true","180","180","or","switch","congruent"
"504","j","true","0","0","mov","switch","congruent"
"633","f","true","0","180","or","switch","incongruent"
"764","f","true","0","180","or","repetition","incongruent"
"724","f","true","180","180","mov","switch","congruent"
"585","j","true","0","180","mov","repetition","incongruent"
"683","f","true","180","0","mov","repetition","incongruent"
"693","j","true","180","0","or","switch","incongruent"
"544","j","true","0","180","mov","switch","incongruent"
"626","j","true","0","0","mov","repetition","congruent"
"763","f","true","180","180","or","switch","congruent"
"819","j","false","180","180","or","repetition","congruent"
"571","f","true","180","0","mov","switch","incongruent"
"508","j","true","0","180","mov","repetition","incongruent"
"574","f","true","180","180","mov","repetition","congruent"
"911","j","false","180","180","or","switch","congruent"
"828","f","true","0","180","or","repetition","incongruent"
"640","j","true","0","0","or","repetition","congruent"
"1192","j","false","180","180","or","repetition","congruent"
"1156","f","true","0","180","or","repetition","incongruent"
"752","j","true","0","0","mov","switch","congruent"
"621","f","true","0","180","or","switch","incongruent"
"1004","j","false","180","180","or","repetition","congruent"
"856","j","false","180","180","or","repetition","congruent"
"1277","j","true","0","0","mov","switch","congruent"
"739","f","true","180","180","mov","repetition","congruent"
"807","f","true","180","180","mov","repetition","congruent"
"847","f","true","0","180","or","switch","incongruent"
"589","j","true","0","0","mov","switch","congruent"
"622","f","true","180","0","mov","repetition","incongruent"
"855","j","true","0","180","mov","repetition","incongruent"
"1213","j","true","0","0","mov","repetition","congruent"
"1090","j","true","0","180","mov","repetition","incongruent"
"688","f","true","180","180","mov","repetition","congruent"
"778","j","true","180","0","or","switch","incongruent"
"1090","f","false","0","0","or","repetition","congruent"
"914","f","false","0","0","or","repetition","congruent"
"685","j","true","180","0","or","repetition","incongruent"
"1298","j","true","0","0","or","repetition","congruent"
"770","f","true","180","0","mov","switch","incongruent"
"700","f","true","180","180","mov","repetition","congruent"
"840","j","true","180","0","or","switch","incongruent"
"1429","j","true","0","0","mov","switch","congruent"
"1098","j","true","180","0","or","switch","incongruent"
"592","f","true","180","0","mov","switch","incongruent"
"793","j","false","180","180","or","switch","congruent"
"564","f","true","180","0","mov","switch","incongruent"
"884","j","true","180","0","or","switch","incongruent"
"1244","j","true","180","0","or","repetition","incongruent"
"1517","f","false","0","0","or","repetition","congruent"
"711","f","true","180","180","mov","switch","congruent"
"1169","j","true","0","180","mov","repetition","incongruent"
"861","f","true","180","0","mov","repetition","incongruent"
"846","f","true","180","180","mov","repetition","congruent"
"1649","f","false","0","0","or","switch","congruent"
"741","f","true","180","0","mov","switch","incongruent"
"1759","f","false","0","0","or","switch","congruent"
"1245","j","true","180","0","or","repetition","incongruent"
"910","f","true","180","180","mov","switch","congruent"
"761","j","false","180","180","or","switch","congruent"
"1219","j","true","0","180","mov","switch","incongruent"
"642","f","true","0","180","or","switch","incongruent"
"1586","f","false","0","0","or","repetition","congruent"
"1269","f","true","0","180","or","repetition","incongruent"
"1616","f","false","0","0","or","repetition","congruent"
"1868","f","true","180","0","mov","switch","incongruent"
"-1","","false","0","180","mov","repetition","incongruent"
"1159","j","true","0","180","mov","repetition","incongruent"
