"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"1269","f","true","180","180","mov","null","congruent"
"547","f","true","180","180","mov","repetition","congruent"
"1101","f","true","0","180","or","switch","incongruent"
"745","f","true","180","0","mov","switch","incongruent"
"943","f","true","180","180","or","switch","congruent"
"814","f","true","180","180","or","repetition","congruent"
"1062","f","true","180","180","or","repetition","congruent"
"1209","f","true","180","180","or","repetition","congruent"
"1169","f","true","0","180","or","repetition","incongruent"
"1546","j","true","180","0","or","repetition","incongruent"
"956","j","true","0","0","or","repetition","congruent"
"791","f","true","180","180","mov","switch","congruent"
"1167","j","true","0","0","or","switch","congruent"
"678","f","true","180","0","mov","switch","incongruent"
"493","f","true","180","180","mov","repetition","congruent"
"742","f","true","0","180","or","switch","incongruent"
"985","f","true","180","180","mov","switch","congruent"
"748","f","true","0","180","or","switch","incongruent"
"564","j","true","0","0","mov","switch","congruent"
"752","j","true","0","180","mov","repetition","incongruent"
"552","f","true","180","0","mov","repetition","incongruent"
"560","f","true","180","0","mov","repetition","incongruent"
"1490","j","true","180","0","or","switch","incongruent"
"1174","f","false","0","180","mov","switch","incongruent"
"1179","f","true","180","0","mov","repetition","incongruent"
"1380","j","true","0","180","mov","repetition","incongruent"
"604","f","true","180","180","mov","repetition","congruent"
"1668","f","true","180","180","or","switch","congruent"
"1455","f","false","0","0","or","repetition","congruent"
"893","j","true","0","0","or","repetition","congruent"
"720","j","true","0","0","or","repetition","congruent"
"-1","","false","180","0","or","repetition","incongruent"
"1169","j","true","0","180","mov","switch","incongruent"
"741","j","true","0","0","mov","repetition","congruent"
"1238","f","true","180","180","or","switch","congruent"
"652","j","true","0","180","mov","switch","incongruent"
"937","f","true","0","180","or","switch","incongruent"
"707","j","true","0","0","mov","switch","congruent"
"742","f","true","180","180","or","switch","congruent"
"1558","j","true","180","0","or","repetition","incongruent"
"719","f","true","0","180","or","repetition","incongruent"
"780","f","true","180","0","mov","switch","incongruent"
"567","j","true","0","0","mov","repetition","congruent"
"1703","j","true","180","0","or","switch","incongruent"
"1258","j","true","0","0","or","repetition","congruent"
"843","j","true","0","0","mov","switch","congruent"
"681","j","true","0","0","mov","repetition","congruent"
"1896","j","true","180","0","or","switch","incongruent"
"1181","j","true","0","0","or","repetition","congruent"
"532","j","true","180","0","or","repetition","incongruent"
"1263","f","true","180","0","mov","switch","incongruent"
"1020","j","true","0","0","mov","repetition","congruent"
"1350","j","true","180","0","or","switch","incongruent"
"1095","f","true","180","180","or","repetition","congruent"
"700","j","true","0","0","mov","switch","congruent"
"943","f","true","180","0","mov","repetition","incongruent"
"751","f","true","180","180","or","switch","congruent"
"1690","f","false","0","0","or","repetition","congruent"
"1753","j","true","0","0","or","repetition","congruent"
"1278","j","true","0","180","mov","switch","incongruent"
"885","f","true","0","180","or","switch","incongruent"
"1507","j","true","180","0","or","repetition","incongruent"
"1691","f","true","180","180","or","repetition","congruent"
"1388","f","true","180","0","mov","switch","incongruent"
"880","f","true","180","0","mov","repetition","incongruent"
"452","j","true","0","0","mov","repetition","congruent"
"703","f","true","180","180","mov","repetition","congruent"
"1164","f","true","0","180","or","switch","incongruent"
"876","f","true","180","180","mov","switch","congruent"
"1009","j","true","0","180","mov","repetition","incongruent"
"703","j","true","0","180","mov","repetition","incongruent"
"1315","j","true","0","0","or","switch","congruent"
"1256","j","true","0","0","mov","switch","congruent"
"1213","j","true","180","0","or","switch","incongruent"
"670","f","true","180","0","mov","switch","incongruent"
"1106","j","true","180","0","or","switch","incongruent"
"871","f","true","180","180","mov","switch","congruent"
"1266","f","true","180","180","or","switch","congruent"
"1803","f","true","0","180","or","repetition","incongruent"
"1847","j","true","0","180","mov","switch","incongruent"
"777","f","true","180","180","mov","repetition","congruent"
"801","f","true","180","180","mov","repetition","congruent"
"905","f","true","180","180","mov","repetition","congruent"
"1396","j","true","0","0","or","switch","congruent"
"1702","j","true","0","180","mov","switch","incongruent"
"1151","j","true","0","0","mov","repetition","congruent"
"986","j","true","0","180","mov","repetition","incongruent"
"1677","j","false","180","0","mov","repetition","incongruent"
"-1","","false","0","0","or","switch","congruent"
"701","j","true","0","0","mov","switch","congruent"
"1025","f","true","0","180","or","switch","incongruent"
"978","j","true","0","180","mov","switch","incongruent"
"-1","","false","180","0","or","switch","incongruent"
"985","f","true","0","180","or","repetition","incongruent"
"1101","f","true","0","180","or","repetition","incongruent"
"942","f","true","180","180","or","repetition","congruent"
