"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"1197","f","true","0","180","or","null","incongruent"
"936","f","true","180","180","or","repetition","congruent"
"1575","j","true","180","0","or","repetition","incongruent"
"1446","f","true","180","0","mov","switch","incongruent"
"1861","j","false","180","180","or","switch","congruent"
"859","j","true","0","0","mov","switch","congruent"
"842","f","true","180","0","mov","repetition","incongruent"
"1319","j","true","0","0","or","switch","congruent"
"991","j","true","0","0","mov","switch","congruent"
"962","f","true","180","0","mov","repetition","incongruent"
"1350","j","true","0","0","or","switch","congruent"
"1389","f","true","0","180","or","repetition","incongruent"
"1102","f","true","0","180","or","repetition","incongruent"
"1173","f","true","180","0","mov","switch","incongruent"
"1248","f","true","180","180","or","switch","congruent"
"1242","f","true","0","180","or","repetition","incongruent"
"1214","j","true","0","0","mov","switch","congruent"
"902","j","true","0","180","mov","repetition","incongruent"
"870","f","true","180","180","or","switch","congruent"
"887","j","true","0","0","mov","switch","congruent"
"710","j","true","0","180","mov","repetition","incongruent"
"860","f","true","180","180","or","switch","congruent"
"967","f","true","180","180","mov","switch","congruent"
"708","j","true","0","180","mov","repetition","incongruent"
"1111","j","true","0","0","or","switch","congruent"
"896","j","true","0","0","mov","switch","congruent"
"1120","j","true","0","0","or","switch","congruent"
"1180","j","false","0","180","or","repetition","incongruent"
"1161","j","true","0","180","mov","switch","incongruent"
"970","j","true","0","0","or","switch","congruent"
"1051","f","true","180","180","or","repetition","congruent"
"1245","j","true","180","0","or","repetition","incongruent"
"894","f","true","180","180","mov","switch","congruent"
"1278","f","true","0","180","or","switch","incongruent"
"1282","j","true","0","0","or","repetition","congruent"
"1005","j","true","0","180","mov","switch","incongruent"
"1276","j","true","180","0","or","switch","incongruent"
"1063","j","true","0","0","mov","switch","congruent"
"833","j","true","0","0","or","switch","congruent"
"883","j","true","180","0","or","repetition","incongruent"
"707","f","true","180","180","mov","switch","congruent"
"1861","f","true","0","180","or","switch","incongruent"
"1021","j","true","0","0","mov","switch","congruent"
"1107","j","true","0","0","or","switch","congruent"
"946","j","true","180","0","or","repetition","incongruent"
"1153","f","true","0","180","or","repetition","incongruent"
"1258","f","true","180","180","or","repetition","congruent"
"1189","f","true","180","180","or","repetition","congruent"
"1009","j","true","0","0","or","repetition","congruent"
"802","f","true","0","180","or","repetition","incongruent"
"762","f","true","180","0","mov","switch","incongruent"
"901","j","true","0","0","or","switch","congruent"
"1216","f","true","0","180","or","repetition","incongruent"
"849","j","true","0","0","mov","switch","congruent"
"1700","f","false","180","0","or","switch","incongruent"
"1484","j","true","180","0","or","repetition","incongruent"
"738","f","true","180","0","mov","switch","incongruent"
"1236","f","true","0","180","or","switch","incongruent"
"1151","f","true","180","180","mov","switch","congruent"
"536","f","true","180","0","mov","repetition","incongruent"
"528","f","true","180","180","mov","repetition","congruent"
"873","j","true","180","0","or","switch","incongruent"
"933","f","true","180","180","mov","switch","congruent"
"731","f","true","180","180","mov","repetition","congruent"
"579","j","true","0","180","mov","repetition","incongruent"
"496","f","true","180","180","mov","repetition","congruent"
"883","j","true","180","0","or","switch","incongruent"
"1146","f","true","180","0","mov","switch","incongruent"
"1415","f","true","180","180","or","switch","congruent"
"1099","j","true","0","0","or","repetition","congruent"
"1053","j","true","180","0","or","repetition","incongruent"
"1331","j","false","180","0","mov","switch","incongruent"
"1439","f","false","0","180","mov","repetition","incongruent"
"1136","f","true","180","0","mov","repetition","incongruent"
"523","f","true","180","180","mov","repetition","congruent"
"878","j","true","0","0","mov","repetition","congruent"
"571","j","true","0","0","mov","repetition","congruent"
"-1","","false","180","0","or","switch","incongruent"
"1216","f","false","0","180","mov","switch","incongruent"
"546","f","true","180","180","mov","repetition","congruent"
"1296","f","true","180","180","or","switch","congruent"
"1081","j","true","0","180","mov","switch","incongruent"
"1301","f","true","180","180","or","switch","congruent"
"1225","j","false","0","180","or","repetition","incongruent"
"1850","f","false","180","0","or","repetition","incongruent"
"1029","j","true","0","0","or","repetition","congruent"
"977","f","true","180","180","or","repetition","congruent"
"649","j","true","0","0","mov","switch","congruent"
"549","j","true","0","180","mov","repetition","incongruent"
"509","j","true","0","180","mov","repetition","incongruent"
"606","f","true","180","0","mov","repetition","incongruent"
"645","f","true","180","0","mov","repetition","incongruent"
"617","f","true","180","180","mov","repetition","congruent"
"682","j","true","0","0","mov","repetition","congruent"
"893","j","true","0","180","mov","repetition","incongruent"
"747","f","true","180","180","mov","repetition","congruent"
