"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"578","j","true","0","0","mov","null","congruent"
"511","f","true","180","180","mov","repetition","congruent"
"659","j","true","0","0","mov","repetition","congruent"
"478","j","true","0","180","mov","repetition","incongruent"
"1742","f","true","0","180","or","switch","incongruent"
"-1","","false","180","0","or","repetition","incongruent"
"755","f","true","180","0","mov","switch","incongruent"
"830","f","true","180","180","mov","repetition","congruent"
"874","j","true","0","0","or","switch","congruent"
"1183","j","true","0","180","mov","switch","incongruent"
"832","j","true","0","0","mov","repetition","congruent"
"1652","j","true","180","0","or","switch","incongruent"
"1707","j","true","180","0","or","repetition","incongruent"
"1839","f","true","0","180","or","repetition","incongruent"
"1177","j","true","180","0","or","repetition","incongruent"
"1053","j","true","180","0","or","repetition","incongruent"
"642","f","true","180","180","mov","switch","congruent"
"717","f","true","180","0","mov","repetition","incongruent"
"928","f","true","180","0","mov","repetition","incongruent"
"512","j","true","0","180","mov","repetition","incongruent"
"623","f","true","180","0","mov","repetition","incongruent"
"503","j","true","0","0","mov","repetition","congruent"
"1252","j","true","0","0","or","switch","congruent"
"1938","j","false","180","180","or","repetition","congruent"
"697","f","true","180","0","mov","switch","incongruent"
"-1","","false","180","180","or","switch","congruent"
"778","f","true","180","180","mov","switch","congruent"
"1785","f","true","180","180","or","switch","congruent"
"1357","j","false","180","180","or","repetition","congruent"
"1675","j","true","180","0","or","repetition","incongruent"
"670","f","true","180","0","mov","switch","incongruent"
"653","f","true","180","180","mov","repetition","congruent"
"602","j","true","0","180","mov","repetition","incongruent"
"550","j","true","0","0","mov","repetition","congruent"
"1492","j","true","0","0","or","switch","congruent"
"669","j","false","0","180","or","repetition","incongruent"
"1765","j","true","0","0","or","repetition","congruent"
"1098","f","true","0","180","or","repetition","incongruent"
"631","f","true","180","180","mov","switch","congruent"
"1353","j","true","180","0","or","switch","incongruent"
"1026","j","true","180","0","or","repetition","incongruent"
"1224","f","true","180","0","mov","switch","incongruent"
"1568","f","true","180","180","or","switch","congruent"
"813","j","true","0","180","mov","switch","incongruent"
"540","j","true","0","0","mov","repetition","congruent"
"-1","","false","0","0","or","switch","congruent"
"1004","f","true","0","180","or","repetition","incongruent"
"883","j","true","0","0","mov","switch","congruent"
"1266","j","true","0","0","or","switch","congruent"
"721","f","true","180","0","mov","switch","incongruent"
"1288","j","true","0","180","mov","repetition","incongruent"
"1143","j","true","0","0","or","switch","congruent"
"1131","f","true","180","0","mov","switch","incongruent"
"624","j","true","0","180","mov","repetition","incongruent"
"497","j","true","0","180","mov","repetition","incongruent"
"1162","f","true","180","180","or","switch","congruent"
"824","j","true","0","0","or","repetition","congruent"
"642","f","true","180","180","mov","switch","congruent"
"680","j","true","0","180","mov","repetition","incongruent"
"1055","f","true","0","180","or","switch","incongruent"
"1070","f","true","180","0","mov","switch","incongruent"
"793","j","true","0","0","or","switch","congruent"
"841","j","true","0","180","mov","switch","incongruent"
"-1","","false","180","0","or","switch","incongruent"
"830","j","true","0","180","mov","switch","incongruent"
"742","f","true","180","180","mov","repetition","congruent"
"700","j","true","0","0","mov","repetition","congruent"
"643","j","true","0","0","mov","repetition","congruent"
"537","f","true","180","0","mov","repetition","incongruent"
"705","j","true","0","0","or","switch","congruent"
"907","f","true","180","180","mov","switch","congruent"
"583","f","true","180","180","mov","repetition","congruent"
"1351","f","true","180","180","or","switch","congruent"
"1321","f","true","0","180","or","repetition","incongruent"
"806","f","true","180","180","mov","switch","congruent"
"621","j","true","0","0","mov","repetition","congruent"
"1572","j","true","180","0","or","switch","incongruent"
"1213","f","true","180","180","or","repetition","congruent"
"679","f","true","180","180","or","repetition","congruent"
"1004","j","true","0","180","mov","switch","incongruent"
"1212","f","true","0","180","or","switch","incongruent"
"837","f","true","180","0","mov","switch","incongruent"
"678","j","true","0","0","or","switch","congruent"
"1830","j","true","180","0","or","repetition","incongruent"
"763","j","true","0","0","mov","switch","congruent"
"805","f","true","180","180","or","switch","congruent"
"1091","j","true","0","0","mov","switch","congruent"
"-1","","false","180","180","or","switch","congruent"
"1174","f","true","0","180","or","repetition","incongruent"
"751","f","true","0","180","or","repetition","incongruent"
"856","f","true","0","180","or","repetition","incongruent"
"962","j","true","0","0","or","repetition","congruent"
"1286","j","true","180","0","or","repetition","incongruent"
"1300","f","true","180","180","or","repetition","congruent"
"1269","f","true","180","180","mov","switch","congruent"
"1635","f","true","0","180","or","switch","incongruent"
