"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"1214","f","true","180","180","or","null","congruent"
"-1","","false","180","0","mov","switch","incongruent"
"1542","f","true","180","0","mov","repetition","incongruent"
"1033","j","false","0","180","or","switch","incongruent"
"1263","j","true","180","0","or","repetition","incongruent"
"1168","j","true","180","0","or","repetition","incongruent"
"1316","j","true","0","180","mov","switch","incongruent"
"-1","","false","0","0","or","switch","congruent"
"1318","f","true","180","180","mov","switch","congruent"
"1164","j","false","0","180","or","switch","incongruent"
"1190","f","false","180","0","or","repetition","incongruent"
"1175","j","true","0","0","or","repetition","congruent"
"-1","","false","180","0","or","repetition","incongruent"
"1546","f","true","180","180","or","repetition","congruent"
"1228","f","true","180","180","or","repetition","congruent"
"1829","j","true","0","0","or","repetition","congruent"
"927","f","true","180","0","mov","switch","incongruent"
"895","j","true","0","0","or","switch","congruent"
"845","j","true","0","180","mov","switch","incongruent"
"948","j","true","0","180","mov","repetition","incongruent"
"1067","j","false","0","180","or","switch","incongruent"
"1793","f","false","0","0","or","repetition","congruent"
"1807","f","true","0","180","or","repetition","incongruent"
"811","j","true","0","0","mov","switch","congruent"
"872","f","true","180","0","mov","repetition","incongruent"
"1028","f","true","180","0","mov","repetition","incongruent"
"753","j","true","0","0","mov","repetition","congruent"
"-1","","false","0","0","or","switch","congruent"
"1228","j","false","0","180","or","repetition","incongruent"
"1785","j","true","0","0","mov","switch","congruent"
"-1","","false","180","180","or","switch","congruent"
"1210","f","true","180","180","mov","switch","congruent"
"1565","f","true","180","180","mov","repetition","congruent"
"835","j","true","0","0","mov","repetition","congruent"
"802","f","true","180","180","mov","repetition","congruent"
"677","j","true","0","0","or","switch","congruent"
"818","f","true","180","180","or","repetition","congruent"
"739","f","true","180","180","or","repetition","congruent"
"836","f","true","180","0","mov","switch","incongruent"
"1787","f","true","180","0","mov","repetition","incongruent"
"1528","j","true","0","0","mov","repetition","congruent"
"1497","j","true","0","0","or","switch","congruent"
"1880","j","true","180","0","or","repetition","incongruent"
"1747","j","true","0","180","mov","switch","incongruent"
"1388","f","true","0","180","or","switch","incongruent"
"1060","f","true","180","180","mov","switch","congruent"
"960","f","true","180","0","mov","repetition","incongruent"
"1808","f","false","180","0","or","switch","incongruent"
"1257","j","true","0","0","mov","switch","congruent"
"853","f","true","0","180","or","switch","incongruent"
"852","j","true","0","0","mov","switch","congruent"
"874","f","true","180","180","mov","repetition","congruent"
"-1","","false","180","0","or","switch","incongruent"
"1041","f","true","180","180","mov","switch","congruent"
"1332","j","false","0","180","or","switch","incongruent"
"1212","f","true","0","180","or","repetition","incongruent"
"1145","f","true","180","0","mov","switch","incongruent"
"1132","f","true","180","0","mov","repetition","incongruent"
"1597","j","true","180","0","or","switch","incongruent"
"1441","j","true","0","180","mov","switch","incongruent"
"949","j","true","0","0","mov","repetition","congruent"
"1002","f","true","180","0","mov","repetition","incongruent"
"1025","j","true","0","180","mov","repetition","incongruent"
"977","f","true","180","180","mov","repetition","congruent"
"1494","f","true","180","180","mov","repetition","congruent"
"919","j","true","0","0","mov","repetition","congruent"
"1661","f","true","0","180","or","switch","incongruent"
"1137","j","true","0","180","mov","switch","incongruent"
"1227","f","true","180","180","mov","repetition","congruent"
"922","j","true","0","180","mov","repetition","incongruent"
"1441","j","true","0","180","mov","repetition","incongruent"
"-1","","false","180","0","or","switch","incongruent"
"734","j","true","0","0","mov","switch","congruent"
"943","f","true","180","180","or","switch","congruent"
"1787","j","true","0","0","or","repetition","congruent"
"887","j","true","0","0","or","repetition","congruent"
"1455","f","false","0","180","mov","switch","incongruent"
"1863","f","true","0","180","or","switch","incongruent"
"929","f","true","180","180","mov","switch","congruent"
"997","f","true","180","180","or","switch","congruent"
"1209","f","true","180","180","or","repetition","congruent"
"756","j","true","0","0","mov","switch","congruent"
"1122","j","true","0","180","mov","repetition","incongruent"
"1248","f","false","180","0","or","switch","incongruent"
"1007","j","true","0","180","mov","switch","incongruent"
"1537","j","true","180","0","or","switch","incongruent"
"1363","j","false","180","180","or","repetition","congruent"
"1833","j","true","180","0","or","repetition","incongruent"
"1764","j","true","0","0","or","repetition","congruent"
"1806","f","true","180","180","or","repetition","congruent"
"1270","j","true","0","0","or","repetition","congruent"
"1177","j","true","0","0","mov","switch","congruent"
"-1","","false","0","180","or","switch","incongruent"
"875","j","false","180","180","or","repetition","congruent"
"821","f","true","180","180","mov","switch","congruent"
"1036","f","true","180","0","mov","repetition","incongruent"
