"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"1032","j","true","180","0","or","null","incongruent"
"567","f","true","180","0","mov","switch","incongruent"
"985","f","true","0","180","or","switch","incongruent"
"1040","f","true","180","180","or","repetition","congruent"
"664","j","true","0","0","or","repetition","congruent"
"564","j","true","0","0","mov","switch","congruent"
"709","j","true","0","180","mov","repetition","incongruent"
"1031","f","true","0","180","or","switch","incongruent"
"800","f","true","180","0","mov","switch","incongruent"
"1255","f","true","0","180","or","switch","incongruent"
"728","j","true","0","0","or","repetition","congruent"
"734","j","true","0","0","or","repetition","congruent"
"1584","f","false","0","180","mov","switch","incongruent"
"437","f","true","180","180","mov","repetition","congruent"
"1669","f","true","180","180","or","switch","congruent"
"1010","f","true","180","180","mov","switch","congruent"
"647","j","true","0","0","or","switch","congruent"
"1215","j","true","180","0","or","repetition","incongruent"
"914","f","true","180","180","or","repetition","congruent"
"928","j","true","180","0","or","repetition","incongruent"
"1151","f","true","180","180","or","repetition","congruent"
"1222","j","true","180","0","or","repetition","incongruent"
"1454","j","false","0","180","or","repetition","incongruent"
"606","j","true","0","0","mov","switch","congruent"
"597","f","true","180","180","mov","repetition","congruent"
"747","j","true","0","0","mov","repetition","congruent"
"862","j","true","0","0","or","switch","congruent"
"655","f","true","180","0","mov","switch","incongruent"
"821","j","true","0","0","or","switch","congruent"
"962","f","true","180","0","mov","switch","incongruent"
"1076","j","true","180","0","or","switch","incongruent"
"724","f","true","0","180","or","repetition","incongruent"
"992","j","true","0","180","mov","switch","incongruent"
"1226","f","true","180","180","or","switch","congruent"
"892","j","true","0","0","or","repetition","congruent"
"1648","f","true","180","180","mov","switch","congruent"
"740","f","true","180","180","mov","repetition","congruent"
"1352","j","true","0","0","or","switch","congruent"
"1334","j","true","180","0","or","repetition","incongruent"
"828","j","true","0","0","mov","switch","congruent"
"637","f","true","180","0","mov","repetition","incongruent"
"1079","f","true","180","180","mov","repetition","congruent"
"786","f","true","180","180","or","switch","congruent"
"706","j","true","0","0","mov","switch","congruent"
"1160","j","true","180","0","or","switch","incongruent"
"1089","j","false","0","180","or","repetition","incongruent"
"1568","f","true","0","180","or","repetition","incongruent"
"1463","j","true","180","0","or","repetition","incongruent"
"1130","j","false","180","180","mov","switch","congruent"
"546","f","true","180","180","mov","repetition","congruent"
"991","j","true","0","0","mov","repetition","congruent"
"931","j","true","0","180","mov","repetition","incongruent"
"546","f","true","180","0","mov","repetition","incongruent"
"959","j","true","180","0","or","switch","incongruent"
"706","j","true","0","0","mov","switch","congruent"
"855","j","true","0","0","mov","repetition","congruent"
"1212","f","true","180","180","or","switch","congruent"
"1335","j","true","0","0","mov","switch","congruent"
"953","f","true","0","180","or","switch","incongruent"
"1304","j","true","0","0","or","repetition","congruent"
"745","f","true","180","0","mov","switch","incongruent"
"997","f","true","180","0","mov","repetition","incongruent"
"1008","f","true","180","0","mov","repetition","incongruent"
"837","j","true","0","180","mov","repetition","incongruent"
"680","j","true","0","180","mov","repetition","incongruent"
"785","f","true","0","180","or","switch","incongruent"
"656","j","true","180","0","or","repetition","incongruent"
"950","j","true","180","0","or","repetition","incongruent"
"774","f","true","180","0","mov","switch","incongruent"
"715","f","true","180","180","or","switch","congruent"
"1015","f","false","0","180","mov","switch","incongruent"
"1188","f","true","180","0","mov","repetition","incongruent"
"566","f","true","180","180","mov","repetition","congruent"
"826","f","true","180","180","mov","repetition","congruent"
"943","j","false","0","180","or","switch","incongruent"
"1059","j","true","0","0","mov","switch","congruent"
"1339","f","false","0","180","mov","repetition","incongruent"
"710","f","true","180","180","mov","repetition","congruent"
"765","f","true","180","180","or","switch","congruent"
"1428","j","true","0","180","mov","switch","incongruent"
"555","j","true","0","0","mov","repetition","congruent"
"761","f","true","180","180","or","switch","congruent"
"1031","j","true","0","180","mov","switch","incongruent"
"1377","j","true","0","0","or","switch","congruent"
"2049","f","false","0","0","or","repetition","congruent"
"685","f","true","180","180","or","repetition","congruent"
"664","j","true","0","0","mov","switch","congruent"
"1747","j","true","180","0","or","switch","incongruent"
"815","f","true","0","180","or","repetition","incongruent"
"722","j","true","0","180","mov","switch","incongruent"
"1059","f","true","180","0","mov","repetition","incongruent"
"1070","j","false","0","180","or","switch","incongruent"
"862","j","true","0","0","or","repetition","congruent"
"756","f","true","180","180","or","repetition","congruent"
"920","f","true","180","180","mov","switch","congruent"
"535","j","true","0","180","mov","repetition","incongruent"
