"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"760","j","true","0","0","mov","null","congruent"
"1827","f","true","0","180","or","switch","incongruent"
"1711","f","true","180","180","or","repetition","congruent"
"-1","","false","0","0","mov","switch","congruent"
"827","j","true","0","0","mov","repetition","congruent"
"1928","f","false","0","0","or","switch","congruent"
"962","f","true","180","180","mov","switch","congruent"
"-1","","false","180","0","or","switch","incongruent"
"1571","f","true","0","180","or","repetition","incongruent"
"1464","f","true","180","0","mov","switch","incongruent"
"-1","","false","180","0","or","switch","incongruent"
"846","j","true","0","0","mov","switch","congruent"
"806","f","true","180","180","mov","repetition","congruent"
"1064","f","true","180","180","or","switch","congruent"
"827","j","true","0","180","mov","switch","incongruent"
"626","f","true","180","180","mov","repetition","congruent"
"1127","j","true","0","0","mov","repetition","congruent"
"1554","j","true","0","180","mov","repetition","incongruent"
"1030","j","true","0","0","mov","repetition","congruent"
"1896","j","true","0","180","mov","repetition","incongruent"
"1189","j","false","180","180","mov","repetition","congruent"
"746","j","true","0","0","mov","repetition","congruent"
"1100","j","true","0","180","mov","repetition","incongruent"
"1106","f","true","180","180","or","switch","congruent"
"1163","f","true","180","0","mov","switch","incongruent"
"848","f","true","180","0","mov","repetition","incongruent"
"1632","j","true","180","0","or","switch","incongruent"
"1956","f","true","180","0","mov","switch","incongruent"
"1686","f","true","0","180","or","switch","incongruent"
"1205","j","true","0","0","mov","switch","congruent"
"712","f","true","180","0","mov","repetition","incongruent"
"738","f","true","180","0","mov","repetition","incongruent"
"1185","f","true","0","180","or","switch","incongruent"
"867","f","true","180","0","mov","switch","incongruent"
"1120","j","true","0","0","or","switch","congruent"
"1748","j","true","180","0","or","repetition","incongruent"
"-1","","false","180","180","or","repetition","congruent"
"1033","f","true","0","180","or","repetition","incongruent"
"1734","j","true","0","0","or","repetition","congruent"
"1705","j","true","0","0","or","repetition","congruent"
"746","f","true","180","180","mov","switch","congruent"
"739","j","true","0","0","mov","repetition","congruent"
"808","f","true","180","180","mov","repetition","congruent"
"701","f","true","180","180","mov","repetition","congruent"
"1510","j","true","180","0","or","switch","incongruent"
"908","f","true","180","0","mov","switch","incongruent"
"1718","j","true","180","0","or","switch","incongruent"
"1313","j","true","0","180","mov","switch","incongruent"
"1291","j","true","0","180","mov","repetition","incongruent"
"921","j","true","0","180","mov","repetition","incongruent"
"745","j","true","0","180","mov","repetition","incongruent"
"736","j","true","0","0","or","switch","congruent"
"1245","f","true","180","180","or","repetition","congruent"
"1869","j","true","0","180","mov","switch","incongruent"
"1029","j","true","0","180","mov","repetition","incongruent"
"-1","","false","180","0","or","switch","incongruent"
"1190","j","false","0","180","or","repetition","incongruent"
"-1","","false","0","0","or","repetition","congruent"
"855","j","true","0","0","mov","switch","congruent"
"609","f","true","180","0","mov","repetition","incongruent"
"1764","j","true","0","180","mov","repetition","incongruent"
"1077","j","true","0","0","or","switch","congruent"
"1444","j","true","180","0","or","repetition","incongruent"
"682","f","true","180","180","mov","switch","congruent"
"1636","f","true","180","180","or","switch","congruent"
"821","f","true","180","180","mov","switch","congruent"
"1652","f","true","0","180","or","switch","incongruent"
"1128","f","true","0","180","or","repetition","incongruent"
"1286","f","true","180","180","or","repetition","congruent"
"1171","j","true","180","0","or","repetition","incongruent"
"1195","j","true","0","0","or","repetition","congruent"
"711","f","true","180","180","mov","switch","congruent"
"1249","f","true","0","180","or","switch","incongruent"
"681","f","true","180","0","mov","switch","incongruent"
"1135","j","true","0","0","or","switch","congruent"
"1532","f","true","180","180","or","repetition","congruent"
"-1","","false","180","180","mov","switch","congruent"
"1003","f","true","0","180","or","switch","incongruent"
"1597","j","true","0","0","or","repetition","congruent"
"1695","f","true","180","180","or","repetition","congruent"
"1250","f","true","0","180","or","repetition","incongruent"
"1279","f","true","180","180","or","repetition","congruent"
"613","f","true","180","180","mov","switch","congruent"
"1684","f","false","180","0","or","switch","incongruent"
"891","j","true","0","180","mov","switch","incongruent"
"1312","j","true","0","0","or","switch","congruent"
"1191","f","true","0","180","or","repetition","incongruent"
"1438","f","true","180","180","or","repetition","congruent"
"1245","j","false","180","0","mov","switch","incongruent"
"690","j","true","0","0","mov","repetition","congruent"
"1286","j","true","180","0","or","switch","incongruent"
"1234","j","true","180","0","or","repetition","incongruent"
"682","j","true","0","0","mov","switch","congruent"
"1667","f","true","180","0","mov","repetition","incongruent"
"1481","f","true","180","180","or","switch","congruent"
"1247","j","true","0","0","or","repetition","congruent"
