"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"842","j","true","0","180","mov","null","incongruent"
"1014","f","true","180","180","or","switch","congruent"
"995","f","true","0","180","or","repetition","incongruent"
"841","j","true","0","180","mov","switch","incongruent"
"604","f","true","180","180","mov","repetition","congruent"
"616","j","true","0","180","mov","repetition","incongruent"
"747","j","true","0","0","or","switch","congruent"
"805","j","true","0","0","or","repetition","congruent"
"999","j","true","180","0","or","repetition","incongruent"
"923","f","true","180","180","or","repetition","congruent"
"1048","j","true","180","0","or","repetition","incongruent"
"760","j","true","0","0","or","repetition","congruent"
"901","f","true","180","180","or","repetition","congruent"
"610","j","true","0","0","mov","switch","congruent"
"647","f","true","180","180","or","switch","congruent"
"538","j","true","0","0","mov","switch","congruent"
"522","j","true","0","0","or","switch","congruent"
"702","f","true","180","180","mov","switch","congruent"
"668","j","false","0","180","or","switch","incongruent"
"810","j","true","0","0","or","repetition","congruent"
"837","f","true","180","0","mov","switch","incongruent"
"728","f","true","0","180","or","switch","incongruent"
"552","j","true","0","0","mov","switch","congruent"
"734","j","false","180","0","mov","repetition","incongruent"
"507","f","true","180","0","mov","repetition","incongruent"
"468","f","true","180","180","mov","repetition","congruent"
"650","j","true","180","0","or","switch","incongruent"
"646","j","true","0","0","or","repetition","congruent"
"673","j","false","0","180","or","repetition","incongruent"
"601","f","true","180","180","mov","switch","congruent"
"453","j","true","0","0","mov","repetition","congruent"
"548","j","true","0","180","mov","repetition","incongruent"
"545","j","true","0","0","mov","repetition","congruent"
"566","j","true","0","0","or","switch","congruent"
"653","j","true","180","0","or","repetition","incongruent"
"634","j","false","180","0","mov","switch","incongruent"
"843","f","true","180","180","or","switch","congruent"
"467","f","true","180","180","mov","switch","congruent"
"612","j","true","0","0","mov","repetition","congruent"
"524","j","true","0","0","mov","repetition","congruent"
"482","j","true","0","0","mov","repetition","congruent"
"560","f","true","180","180","or","switch","congruent"
"470","f","true","180","180","or","repetition","congruent"
"655","f","true","180","0","mov","switch","incongruent"
"953","j","false","180","180","or","switch","congruent"
"837","f","true","0","180","or","repetition","incongruent"
"583","j","true","0","180","mov","switch","incongruent"
"756","f","false","180","0","or","switch","incongruent"
"604","j","true","0","0","mov","switch","congruent"
"614","j","true","0","180","mov","repetition","incongruent"
"493","j","true","0","180","mov","repetition","incongruent"
"488","j","true","0","180","mov","repetition","incongruent"
"887","f","false","180","0","or","switch","incongruent"
"698","j","true","180","0","or","repetition","incongruent"
"696","j","true","0","0","or","repetition","congruent"
"452","f","true","180","180","mov","switch","congruent"
"619","f","true","180","0","mov","repetition","incongruent"
"746","f","true","0","180","or","switch","incongruent"
"753","j","false","0","180","or","repetition","incongruent"
"815","j","true","180","0","or","repetition","incongruent"
"533","j","true","0","0","mov","switch","congruent"
"734","j","true","0","0","or","switch","congruent"
"702","f","false","0","0","or","repetition","congruent"
"575","f","true","180","180","mov","switch","congruent"
"608","j","true","180","0","or","switch","incongruent"
"597","f","true","0","180","or","repetition","incongruent"
"562","f","true","180","180","mov","switch","congruent"
"699","f","true","180","180","or","switch","congruent"
"571","f","true","0","180","or","repetition","incongruent"
"530","f","true","180","180","mov","switch","congruent"
"495","f","true","180","0","mov","repetition","incongruent"
"873","f","true","180","0","mov","repetition","incongruent"
"742","f","true","180","180","or","switch","congruent"
"801","j","true","180","0","or","repetition","incongruent"
"566","f","true","180","0","mov","switch","incongruent"
"652","f","true","180","180","mov","repetition","congruent"
"487","j","true","0","180","mov","repetition","incongruent"
"705","j","true","180","0","or","switch","incongruent"
"454","f","true","180","180","mov","switch","congruent"
"800","f","true","180","0","mov","repetition","incongruent"
"513","j","true","0","0","mov","repetition","congruent"
"586","f","true","180","180","or","switch","congruent"
"506","j","true","0","180","mov","switch","incongruent"
"1103","f","true","0","180","or","switch","incongruent"
"838","f","true","180","0","mov","switch","incongruent"
"495","f","true","180","180","mov","repetition","congruent"
"651","j","true","0","180","mov","repetition","incongruent"
"646","f","true","180","180","or","switch","congruent"
"784","f","false","0","0","or","repetition","congruent"
"551","f","true","180","0","mov","switch","incongruent"
"647","f","true","0","180","or","switch","incongruent"
"657","j","true","0","0","or","repetition","congruent"
"721","j","true","0","180","mov","switch","incongruent"
"465","j","true","0","0","mov","repetition","congruent"
"1005","j","true","180","0","or","switch","incongruent"
"642","f","true","0","180","or","repetition","incongruent"
