"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"1062","j","true","0","0","mov","null","congruent"
"-1","","false","0","180","mov","repetition","incongruent"
"1414","f","false","0","180","mov","repetition","incongruent"
"1327","f","true","180","180","or","switch","congruent"
"1753","j","false","0","180","or","repetition","incongruent"
"1413","f","true","180","0","mov","switch","incongruent"
"1954","j","true","180","0","or","switch","incongruent"
"1543","f","true","0","180","or","repetition","incongruent"
"-1","","false","180","180","or","repetition","congruent"
"1233","f","true","180","180","or","repetition","congruent"
"890","j","true","0","0","mov","switch","congruent"
"838","f","true","180","180","mov","repetition","congruent"
"863","j","false","0","180","or","switch","incongruent"
"974","f","true","180","180","or","repetition","congruent"
"816","j","true","0","180","mov","switch","incongruent"
"1089","f","false","0","180","mov","repetition","incongruent"
"1395","j","true","0","180","mov","repetition","incongruent"
"977","f","true","180","180","mov","repetition","congruent"
"1485","f","false","0","180","mov","repetition","incongruent"
"950","f","true","180","180","mov","repetition","congruent"
"1463","f","true","0","180","or","switch","incongruent"
"-1","","false","0","0","mov","switch","congruent"
"-1","","false","0","0","or","switch","congruent"
"822","f","false","0","0","or","repetition","congruent"
"583","f","false","0","0","or","repetition","congruent"
"1015","j","true","0","180","mov","switch","incongruent"
"395","f","false","0","0","or","switch","congruent"
"926","f","false","0","180","mov","switch","incongruent"
"809","j","false","180","0","mov","repetition","incongruent"
"823","f","true","0","180","or","switch","incongruent"
"747","f","true","180","180","mov","switch","congruent"
"810","f","false","0","180","mov","repetition","incongruent"
"748","f","false","0","0","or","switch","congruent"
"626","f","true","180","0","mov","switch","incongruent"
"608","j","true","0","0","or","switch","congruent"
"856","j","false","0","180","or","repetition","incongruent"
"441","j","false","0","180","or","repetition","incongruent"
"512","f","true","0","180","or","repetition","incongruent"
"733","f","true","180","180","mov","switch","congruent"
"774","f","true","180","0","mov","repetition","incongruent"
"749","j","true","0","0","or","switch","congruent"
"803","j","false","0","180","or","repetition","incongruent"
"896","f","true","180","180","mov","switch","congruent"
"1739","f","false","0","180","mov","repetition","incongruent"
"991","f","true","180","180","or","switch","congruent"
"1332","f","true","0","180","or","repetition","incongruent"
"1484","f","false","0","180","mov","switch","incongruent"
"-1","","false","180","0","or","switch","incongruent"
"715","f","false","0","0","mov","switch","congruent"
"1366","f","true","0","180","or","switch","incongruent"
"1156","f","true","180","180","or","repetition","congruent"
"1167","j","true","0","0","mov","switch","congruent"
"923","j","true","180","0","or","switch","incongruent"
"1348","f","false","180","0","or","repetition","incongruent"
"888","f","false","0","0","mov","switch","congruent"
"820","f","true","180","180","or","switch","congruent"
"1692","f","false","0","0","mov","switch","congruent"
"1056","j","true","0","0","mov","repetition","congruent"
"1425","f","true","180","0","mov","repetition","incongruent"
"832","f","true","180","180","mov","repetition","congruent"
"649","f","false","0","180","mov","repetition","incongruent"
"983","j","false","180","180","mov","repetition","congruent"
"732","f","false","0","0","or","switch","congruent"
"780","f","false","0","0","mov","switch","congruent"
"736","f","false","0","0","mov","repetition","congruent"
"941","j","true","180","0","or","switch","incongruent"
"1167","f","true","180","0","mov","switch","incongruent"
"788","f","true","180","0","mov","repetition","incongruent"
"-1","","false","0","0","mov","repetition","congruent"
"794","f","true","180","180","mov","repetition","congruent"
"-1","","false","0","0","or","switch","congruent"
"1764","f","true","180","180","or","repetition","congruent"
"-1","","false","180","0","mov","switch","incongruent"
"609","f","true","180","0","mov","repetition","incongruent"
"1071","f","true","180","0","mov","repetition","incongruent"
"989","f","true","180","180","or","switch","congruent"
"957","f","true","180","180","mov","switch","congruent"
"-1","","false","0","0","mov","repetition","congruent"
"721","f","false","0","0","or","switch","congruent"
"697","f","true","180","180","or","repetition","congruent"
"1499","f","false","0","0","or","repetition","congruent"
"-1","","false","180","0","or","repetition","incongruent"
"-1","","false","180","0","or","repetition","incongruent"
"554","f","true","180","180","mov","switch","congruent"
"828","f","false","180","0","or","switch","incongruent"
"888","f","true","0","180","or","repetition","incongruent"
"-1","","false","180","0","or","repetition","incongruent"
"-1","","false","180","0","or","repetition","incongruent"
"-1","","false","180","180","mov","switch","congruent"
"816","f","false","180","0","or","switch","incongruent"
"-1","","false","180","0","mov","switch","incongruent"
"849","j","true","0","0","or","switch","congruent"
"1008","f","true","180","180","or","repetition","congruent"
"1497","j","false","180","0","mov","switch","incongruent"
"782","f","true","180","180","or","switch","congruent"
"1002","j","true","180","0","or","repetition","incongruent"
