"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"886","f","true","180","180","or","null","congruent"
"883","j","true","0","0","mov","switch","congruent"
"1201","j","true","180","0","or","switch","incongruent"
"1024","j","true","0","180","mov","switch","incongruent"
"1005","j","true","180","0","or","switch","incongruent"
"964","f","true","180","180","mov","switch","congruent"
"818","j","true","180","0","or","switch","incongruent"
"937","f","true","180","180","or","repetition","congruent"
"821","j","true","0","180","mov","switch","incongruent"
"836","f","true","180","180","mov","repetition","congruent"
"957","j","true","0","0","or","switch","congruent"
"752","f","true","180","180","or","repetition","congruent"
"954","f","false","180","0","or","repetition","incongruent"
"889","j","true","0","0","mov","switch","congruent"
"1284","j","true","0","0","or","switch","congruent"
"1287","j","true","0","180","mov","switch","incongruent"
"643","f","true","180","180","mov","repetition","congruent"
"659","j","true","0","180","mov","repetition","incongruent"
"674","j","true","0","0","mov","repetition","congruent"
"922","f","true","180","180","mov","repetition","congruent"
"576","j","true","0","180","mov","repetition","incongruent"
"612","f","true","180","0","mov","repetition","incongruent"
"622","f","true","180","0","mov","repetition","incongruent"
"1173","f","true","180","180","or","switch","congruent"
"1137","j","true","180","0","or","repetition","incongruent"
"1112","f","true","0","180","or","repetition","incongruent"
"1400","f","true","180","0","mov","switch","incongruent"
"1095","j","false","180","180","or","switch","congruent"
"966","j","true","180","0","or","repetition","incongruent"
"1130","f","false","0","180","mov","switch","incongruent"
"1817","f","false","0","0","or","switch","congruent"
"1176","j","true","180","0","or","repetition","incongruent"
"1146","j","true","0","0","or","repetition","congruent"
"1225","f","true","180","180","or","repetition","congruent"
"1186","j","true","0","0","or","repetition","congruent"
"990","f","true","180","180","mov","switch","congruent"
"1257","f","true","180","180","mov","repetition","congruent"
"1241","j","true","180","0","or","switch","incongruent"
"1141","f","true","0","180","or","repetition","incongruent"
"917","f","true","180","0","mov","switch","incongruent"
"1059","f","true","0","180","or","switch","incongruent"
"1861","f","true","180","180","or","repetition","congruent"
"1358","f","true","0","180","or","repetition","incongruent"
"1054","f","true","180","0","mov","switch","incongruent"
"791","f","true","180","0","mov","repetition","incongruent"
"673","f","true","180","0","mov","repetition","incongruent"
"1033","j","true","0","180","mov","repetition","incongruent"
"673","f","true","180","0","mov","repetition","incongruent"
"923","j","true","180","0","or","switch","incongruent"
"1142","j","true","0","0","or","repetition","congruent"
"832","f","true","180","0","mov","switch","incongruent"
"637","f","true","180","180","or","switch","congruent"
"808","f","true","180","180","mov","switch","congruent"
"595","j","true","0","0","mov","repetition","congruent"
"563","f","true","180","180","mov","repetition","congruent"
"540","j","true","0","0","mov","repetition","congruent"
"941","j","true","180","0","or","switch","incongruent"
"1067","f","true","0","180","or","repetition","incongruent"
"650","f","true","180","0","mov","switch","incongruent"
"578","f","true","180","180","mov","repetition","congruent"
"652","j","true","0","0","mov","repetition","congruent"
"987","f","true","0","180","or","switch","incongruent"
"745","f","true","0","180","or","repetition","incongruent"
"954","j","true","0","0","or","repetition","congruent"
"1969","f","false","0","0","mov","switch","congruent"
"746","j","true","0","180","mov","repetition","incongruent"
"1419","f","true","0","180","or","switch","incongruent"
"1388","f","true","180","180","mov","switch","congruent"
"959","j","true","0","0","or","switch","congruent"
"1315","j","true","180","0","or","repetition","incongruent"
"935","j","true","0","0","or","repetition","congruent"
"1050","f","true","180","180","or","repetition","congruent"
"1049","f","true","0","180","or","repetition","incongruent"
"1076","f","true","180","180","mov","switch","congruent"
"1161","j","true","0","0","mov","repetition","congruent"
"1436","f","true","180","180","or","switch","congruent"
"980","j","true","0","0","mov","switch","congruent"
"979","f","true","180","180","or","switch","congruent"
"1172","j","true","0","0","mov","switch","congruent"
"747","j","true","0","0","mov","repetition","congruent"
"658","j","false","0","180","or","switch","incongruent"
"1329","j","true","0","0","or","repetition","congruent"
"1170","j","true","180","0","or","repetition","incongruent"
"969","j","true","0","0","or","repetition","congruent"
"647","f","true","180","0","mov","switch","incongruent"
"1457","f","true","0","180","or","switch","incongruent"
"1793","j","true","0","180","mov","switch","incongruent"
"1878","j","true","0","0","or","switch","congruent"
"959","f","true","180","180","mov","switch","congruent"
"959","j","true","0","0","mov","repetition","congruent"
"857","f","false","0","180","mov","repetition","incongruent"
"960","f","true","0","180","or","switch","incongruent"
"883","j","true","0","180","mov","switch","incongruent"
"783","f","true","180","0","mov","repetition","incongruent"
"870","f","true","180","180","or","switch","congruent"
"671","j","true","0","180","mov","switch","incongruent"
