"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"747","f","true","0","180","or","null","incongruent"
"472","j","true","0","180","mov","switch","incongruent"
"405","j","true","0","180","mov","repetition","incongruent"
"1329","j","true","180","0","or","switch","incongruent"
"724","f","true","180","0","mov","switch","incongruent"
"1558","f","true","180","180","or","switch","congruent"
"599","f","true","180","180","mov","switch","congruent"
"524","j","true","0","0","mov","repetition","congruent"
"1115","f","true","180","180","mov","repetition","congruent"
"1082","f","true","0","180","or","switch","incongruent"
"909","j","true","0","180","mov","switch","incongruent"
"759","j","true","0","0","mov","repetition","congruent"
"484","f","true","180","180","mov","repetition","congruent"
"477","j","true","0","0","mov","repetition","congruent"
"612","f","true","180","180","mov","repetition","congruent"
"970","f","true","0","180","or","switch","incongruent"
"674","f","true","180","0","mov","switch","incongruent"
"902","j","true","180","0","or","switch","incongruent"
"900","j","true","0","0","or","repetition","congruent"
"1487","f","true","180","180","or","repetition","congruent"
"1370","j","true","0","0","or","repetition","congruent"
"1207","j","true","0","0","or","repetition","congruent"
"791","f","true","0","180","or","repetition","incongruent"
"1065","f","true","180","180","or","repetition","congruent"
"925","j","true","0","0","or","repetition","congruent"
"1077","j","true","0","0","or","repetition","congruent"
"496","f","true","180","0","mov","switch","incongruent"
"474","j","true","0","0","mov","repetition","congruent"
"1333","f","true","180","180","or","switch","congruent"
"661","j","true","0","180","mov","switch","incongruent"
"937","j","true","180","0","or","switch","incongruent"
"1444","f","true","180","180","mov","switch","congruent"
"1391","f","true","0","180","or","switch","incongruent"
"1092","j","true","180","0","or","repetition","incongruent"
"823","f","true","180","180","mov","switch","congruent"
"897","f","true","180","180","mov","repetition","congruent"
"1843","j","true","0","0","or","switch","congruent"
"1644","f","true","180","0","mov","switch","incongruent"
"645","j","true","0","180","mov","repetition","incongruent"
"765","f","true","180","180","mov","repetition","congruent"
"700","f","true","180","180","mov","repetition","congruent"
"812","f","true","180","0","mov","repetition","incongruent"
"1217","f","true","0","180","or","switch","incongruent"
"1043","f","true","180","180","or","repetition","congruent"
"1469","f","true","180","180","or","repetition","congruent"
"1219","j","true","180","0","or","repetition","incongruent"
"467","j","true","0","180","mov","switch","incongruent"
"1463","j","true","180","0","or","switch","incongruent"
"1202","f","true","180","180","or","repetition","congruent"
"345","f","true","180","0","mov","switch","incongruent"
"1579","f","true","180","180","or","switch","congruent"
"1068","j","true","180","0","or","repetition","incongruent"
"1350","j","true","0","0","or","repetition","congruent"
"626","j","true","0","180","mov","switch","incongruent"
"952","j","true","180","0","or","switch","incongruent"
"1492","f","true","180","180","or","repetition","congruent"
"1610","j","true","180","0","or","repetition","incongruent"
"422","j","true","0","0","mov","switch","congruent"
"1062","f","true","180","180","or","switch","congruent"
"801","f","true","180","0","mov","switch","incongruent"
"1369","f","true","0","180","or","switch","incongruent"
"620","j","true","0","0","mov","switch","congruent"
"1262","j","true","0","0","or","switch","congruent"
"1147","f","true","0","180","or","repetition","incongruent"
"591","j","true","0","180","mov","switch","incongruent"
"647","j","true","0","0","mov","repetition","congruent"
"621","j","true","0","0","mov","repetition","congruent"
"1655","f","false","0","0","or","switch","congruent"
"1761","f","true","0","180","or","repetition","incongruent"
"1392","f","true","180","180","or","repetition","congruent"
"712","f","true","180","180","mov","switch","congruent"
"546","j","true","0","0","mov","repetition","congruent"
"791","f","true","0","180","or","switch","incongruent"
"1096","j","true","180","0","or","repetition","incongruent"
"898","j","true","180","0","or","repetition","incongruent"
"633","f","true","180","0","mov","switch","incongruent"
"1355","j","true","0","0","or","switch","congruent"
"1342","j","true","180","0","or","repetition","incongruent"
"716","j","true","0","0","mov","switch","congruent"
"1219","j","true","0","180","mov","repetition","incongruent"
"1128","f","true","0","180","or","switch","incongruent"
"1057","j","true","0","0","or","repetition","congruent"
"553","f","true","180","0","mov","switch","incongruent"
"1012","j","true","0","180","mov","repetition","incongruent"
"491","j","true","0","0","mov","repetition","congruent"
"629","f","true","180","180","mov","repetition","congruent"
"590","f","true","180","180","mov","repetition","congruent"
"850","j","true","0","180","mov","repetition","incongruent"
"1388","j","true","0","0","mov","repetition","congruent"
"1008","f","true","180","0","mov","repetition","incongruent"
"1058","f","true","0","180","or","switch","incongruent"
"899","f","true","180","0","mov","switch","incongruent"
"1089","f","true","180","180","or","switch","congruent"
"1176","j","true","0","180","mov","switch","incongruent"
"1500","j","true","0","0","or","switch","congruent"
"929","f","true","180","0","mov","switch","incongruent"
