"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"636","j","true","0","0","mov","null","congruent"
"534","f","true","180","180","mov","repetition","congruent"
"749","j","true","0","0","mov","repetition","congruent"
"629","f","true","180","180","mov","repetition","congruent"
"605","f","true","180","180","or","switch","congruent"
"581","j","false","0","180","or","repetition","incongruent"
"814","j","false","0","180","or","repetition","incongruent"
"852","f","true","0","180","or","repetition","incongruent"
"784","j","true","180","0","or","repetition","incongruent"
"1000","f","true","0","180","or","repetition","incongruent"
"796","j","true","180","0","or","repetition","incongruent"
"573","f","false","0","0","mov","switch","congruent"
"693","j","true","0","180","mov","repetition","incongruent"
"819","f","true","0","180","or","switch","incongruent"
"2007","j","true","0","0","or","repetition","congruent"
"727","j","true","0","0","mov","switch","congruent"
"508","f","true","180","180","or","switch","congruent"
"488","f","true","180","180","or","repetition","congruent"
"531","f","true","180","180","mov","switch","congruent"
"797","f","true","180","180","or","switch","congruent"
"693","j","false","180","0","mov","switch","incongruent"
"1123","f","true","180","0","mov","repetition","incongruent"
"688","j","true","0","0","mov","repetition","congruent"
"801","f","true","180","0","mov","repetition","incongruent"
"837","f","true","180","180","or","switch","congruent"
"638","j","true","0","180","mov","switch","incongruent"
"455","f","true","180","180","or","switch","congruent"
"715","f","true","0","180","or","repetition","incongruent"
"615","f","true","180","180","or","repetition","congruent"
"622","j","true","180","0","or","repetition","incongruent"
"478","f","true","180","180","mov","switch","congruent"
"502","f","true","180","180","mov","repetition","congruent"
"622","j","false","0","180","or","switch","incongruent"
"678","f","true","180","180","or","repetition","congruent"
"676","j","true","180","0","or","repetition","incongruent"
"773","j","false","180","180","mov","switch","congruent"
"669","j","true","0","180","mov","repetition","incongruent"
"758","f","false","0","0","or","switch","congruent"
"942","j","true","0","0","or","repetition","congruent"
"590","j","true","0","0","mov","switch","congruent"
"599","j","true","0","0","or","switch","congruent"
"713","f","true","180","180","mov","switch","congruent"
"648","j","true","0","180","mov","repetition","incongruent"
"620","f","true","180","180","or","switch","congruent"
"853","j","false","0","180","or","repetition","incongruent"
"662","j","true","0","0","or","repetition","congruent"
"514","f","true","180","0","mov","switch","incongruent"
"547","f","false","0","0","mov","repetition","congruent"
"695","j","true","0","180","mov","repetition","incongruent"
"696","j","true","0","0","or","switch","congruent"
"1142","f","false","180","0","or","repetition","incongruent"
"916","j","false","0","180","or","repetition","incongruent"
"518","j","true","0","0","mov","switch","congruent"
"454","f","true","180","0","mov","repetition","incongruent"
"694","j","false","0","180","or","switch","incongruent"
"588","f","false","180","0","or","repetition","incongruent"
"-1","","false","0","180","or","repetition","incongruent"
"770","f","false","0","180","mov","switch","incongruent"
"759","f","true","180","0","mov","repetition","incongruent"
"710","j","true","0","0","or","switch","congruent"
"735","f","true","180","180","mov","switch","congruent"
"583","j","true","0","180","mov","repetition","incongruent"
"557","j","true","0","180","mov","repetition","incongruent"
"540","f","true","180","180","or","switch","congruent"
"550","j","true","0","0","mov","switch","congruent"
"598","j","true","180","0","or","switch","incongruent"
"623","f","true","180","180","mov","switch","congruent"
"682","j","true","180","0","or","switch","incongruent"
"518","j","true","180","0","or","repetition","incongruent"
"741","j","true","0","0","or","repetition","congruent"
"441","j","true","0","0","mov","switch","congruent"
"582","f","true","180","180","or","switch","congruent"
"573","f","true","180","180","mov","switch","congruent"
"517","f","true","180","0","mov","repetition","incongruent"
"455","j","true","0","0","mov","repetition","congruent"
"448","j","true","0","0","mov","repetition","congruent"
"804","f","true","180","180","mov","repetition","congruent"
"726","f","true","180","180","or","switch","congruent"
"557","f","true","180","0","mov","switch","incongruent"
"533","j","true","0","180","mov","repetition","incongruent"
"667","f","false","180","0","or","switch","incongruent"
"725","j","true","0","0","or","repetition","congruent"
"876","f","true","180","0","mov","switch","incongruent"
"1842","j","true","180","0","or","switch","incongruent"
"579","j","true","0","180","mov","switch","incongruent"
"774","j","true","0","0","or","switch","congruent"
"493","f","true","180","180","mov","switch","congruent"
"582","j","true","0","0","or","switch","congruent"
"772","f","true","180","0","mov","switch","incongruent"
"925","j","true","0","180","mov","repetition","incongruent"
"1284","j","true","180","0","or","switch","incongruent"
"1109","f","true","180","0","mov","switch","incongruent"
"564","f","true","180","0","mov","repetition","incongruent"
"473","j","true","0","180","mov","repetition","incongruent"
"628","f","true","0","180","or","switch","incongruent"
"476","f","false","0","0","or","repetition","congruent"
