"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"1167","j","true","180","0","or","null","incongruent"
"1164","f","true","180","180","or","repetition","congruent"
"1502","j","true","180","0","or","repetition","incongruent"
"1155","j","true","0","0","mov","switch","congruent"
"727","j","true","0","0","mov","repetition","congruent"
"677","j","true","0","0","mov","repetition","congruent"
"992","j","true","180","0","or","switch","incongruent"
"921","f","true","180","180","or","repetition","congruent"
"704","f","true","180","180","mov","switch","congruent"
"1539","f","false","0","0","mov","repetition","congruent"
"1406","f","true","180","180","or","switch","congruent"
"1167","f","true","180","180","or","repetition","congruent"
"634","j","true","0","0","mov","switch","congruent"
"1112","f","true","0","180","or","switch","incongruent"
"470","j","true","0","0","mov","switch","congruent"
"400","j","true","0","0","mov","repetition","congruent"
"400","j","true","0","0","mov","repetition","congruent"
"421","j","true","0","180","mov","repetition","incongruent"
"-1","","false","180","0","or","switch","incongruent"
"727","j","true","0","180","mov","switch","incongruent"
"1111","f","true","0","180","or","switch","incongruent"
"709","j","true","0","180","mov","switch","incongruent"
"688","f","true","180","180","or","switch","congruent"
"609","f","false","180","0","or","repetition","incongruent"
"711","j","true","0","0","mov","switch","congruent"
"860","f","true","180","0","mov","repetition","incongruent"
"535","j","true","0","180","mov","repetition","incongruent"
"730","j","true","180","0","or","switch","incongruent"
"689","f","true","180","180","mov","switch","congruent"
"1119","f","true","180","180","or","switch","congruent"
"948","f","true","180","180","mov","switch","congruent"
"1642","f","true","180","180","mov","repetition","congruent"
"954","j","true","0","0","or","switch","congruent"
"1076","f","true","0","180","or","repetition","incongruent"
"955","f","false","0","0","or","repetition","congruent"
"-1","","false","0","180","or","repetition","incongruent"
"1030","j","true","0","0","or","repetition","congruent"
"692","f","true","180","180","mov","switch","congruent"
"565","f","true","180","180","mov","repetition","congruent"
"700","f","true","180","0","mov","repetition","incongruent"
"989","j","true","180","0","or","switch","incongruent"
"821","j","true","180","0","or","repetition","incongruent"
"974","j","true","180","0","or","repetition","incongruent"
"901","f","true","180","180","mov","switch","congruent"
"1385","j","true","0","0","or","switch","congruent"
"999","f","true","0","180","or","repetition","incongruent"
"945","f","true","180","180","or","repetition","congruent"
"1316","f","false","0","0","or","repetition","congruent"
"1545","f","true","180","180","or","repetition","congruent"
"458","f","true","180","0","mov","switch","incongruent"
"554","f","true","180","0","mov","repetition","incongruent"
"410","f","true","180","0","mov","repetition","incongruent"
"573","j","true","0","180","mov","repetition","incongruent"
"671","j","true","0","0","or","switch","congruent"
"827","j","true","0","0","or","repetition","congruent"
"491","j","true","0","0","mov","switch","congruent"
"564","f","true","180","0","mov","repetition","incongruent"
"775","f","true","180","180","or","switch","congruent"
"414","j","false","180","180","mov","switch","congruent"
"966","f","true","0","180","or","switch","incongruent"
"413","f","true","180","180","mov","switch","congruent"
"883","j","false","0","180","or","switch","incongruent"
"780","f","true","180","180","or","repetition","congruent"
"790","j","true","0","0","or","repetition","congruent"
"1073","j","true","0","180","mov","switch","incongruent"
"756","f","true","180","180","mov","repetition","congruent"
"1119","f","true","180","180","mov","repetition","congruent"
"795","f","true","0","180","or","switch","incongruent"
"357","f","true","180","0","mov","switch","incongruent"
"637","j","true","0","0","or","switch","congruent"
"890","j","true","0","180","mov","switch","incongruent"
"571","f","true","180","180","or","switch","congruent"
"887","j","true","180","0","or","repetition","incongruent"
"1002","f","true","180","0","mov","switch","incongruent"
"708","j","true","180","0","or","switch","incongruent"
"796","f","true","0","180","or","repetition","incongruent"
"351","j","true","0","180","mov","switch","incongruent"
"781","j","true","180","0","or","switch","incongruent"
"687","f","true","0","180","or","repetition","incongruent"
"665","j","true","0","0","or","repetition","congruent"
"975","f","true","0","180","or","repetition","incongruent"
"802","f","true","180","180","or","repetition","congruent"
"344","j","true","0","180","mov","switch","incongruent"
"674","j","true","0","0","or","switch","congruent"
"910","f","false","0","180","mov","switch","incongruent"
"1281","j","false","180","0","mov","repetition","incongruent"
"420","j","true","0","0","mov","repetition","congruent"
"267","j","true","0","180","mov","repetition","incongruent"
"255","j","false","180","0","mov","repetition","incongruent"
"1447","f","true","180","0","mov","repetition","incongruent"
"675","j","true","0","0","or","switch","congruent"
"394","j","true","0","0","mov","switch","congruent"
"410","j","true","0","180","mov","repetition","incongruent"
"532","f","true","180","0","mov","repetition","incongruent"
"747","f","true","0","180","or","switch","incongruent"
"511","f","true","180","180","mov","switch","congruent"
