"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"992","j","true","0","0","mov","null","congruent"
"1150","f","true","180","180","or","switch","congruent"
"790","j","false","180","0","mov","switch","incongruent"
"834","j","true","0","180","mov","repetition","incongruent"
"691","j","true","0","180","mov","repetition","incongruent"
"539","f","true","180","180","mov","repetition","congruent"
"721","f","true","180","180","mov","repetition","congruent"
"1075","f","true","0","180","or","switch","incongruent"
"995","j","true","0","0","or","repetition","congruent"
"846","j","true","0","180","mov","switch","incongruent"
"790","j","true","0","0","or","switch","congruent"
"571","f","true","180","180","mov","switch","congruent"
"702","f","true","180","180","mov","repetition","congruent"
"1069","j","true","0","0","or","switch","congruent"
"891","f","true","180","180","or","repetition","congruent"
"434","j","true","0","0","mov","switch","congruent"
"641","f","true","180","0","mov","repetition","incongruent"
"1298","f","false","180","0","or","switch","incongruent"
"1173","f","false","0","180","mov","switch","incongruent"
"1340","f","true","180","180","mov","repetition","congruent"
"1464","f","true","180","180","or","switch","congruent"
"972","j","false","180","180","mov","switch","congruent"
"640","j","true","0","180","mov","repetition","incongruent"
"1033","f","false","0","0","or","switch","congruent"
"666","j","true","0","0","mov","switch","congruent"
"1240","j","true","180","0","or","switch","incongruent"
"829","f","true","0","180","or","repetition","incongruent"
"894","f","true","0","180","or","repetition","incongruent"
"854","f","true","180","180","or","repetition","congruent"
"673","f","true","180","0","mov","switch","incongruent"
"942","j","true","180","0","or","switch","incongruent"
"906","j","true","180","0","or","repetition","incongruent"
"1183","j","true","0","0","mov","switch","congruent"
"1100","j","true","180","0","or","switch","incongruent"
"1456","f","false","0","0","or","repetition","congruent"
"926","f","true","0","180","or","repetition","incongruent"
"1127","f","true","180","180","or","repetition","congruent"
"556","j","true","0","0","mov","switch","congruent"
"472","f","true","180","180","mov","repetition","congruent"
"531","f","true","180","0","mov","repetition","incongruent"
"683","j","false","180","0","mov","repetition","incongruent"
"468","j","true","0","180","mov","repetition","incongruent"
"1134","f","true","0","180","or","switch","incongruent"
"893","j","true","0","0","mov","switch","congruent"
"1148","f","true","180","180","or","switch","congruent"
"988","j","true","180","0","or","repetition","incongruent"
"1263","j","true","0","0","or","repetition","congruent"
"696","j","true","0","0","mov","switch","congruent"
"692","f","true","180","0","mov","repetition","incongruent"
"-1","","false","180","180","or","switch","congruent"
"-1","","false","180","0","mov","switch","incongruent"
"879","j","true","0","0","mov","repetition","congruent"
"1001","f","true","180","180","or","switch","congruent"
"1148","j","true","0","180","mov","switch","incongruent"
"-1","","false","180","0","mov","repetition","incongruent"
"-1","","false","0","0","or","switch","congruent"
"1406","j","true","180","0","or","repetition","incongruent"
"1114","f","true","0","180","or","repetition","incongruent"
"923","f","true","180","180","or","repetition","congruent"
"726","f","true","180","0","mov","switch","incongruent"
"584","f","true","180","0","mov","repetition","incongruent"
"603","j","true","0","180","mov","repetition","incongruent"
"746","f","true","180","180","mov","repetition","congruent"
"441","j","true","0","0","mov","repetition","congruent"
"1070","j","true","180","0","or","switch","incongruent"
"805","f","false","0","0","or","repetition","congruent"
"485","j","true","0","180","mov","switch","incongruent"
"1200","j","true","180","0","or","switch","incongruent"
"1141","j","true","180","0","or","repetition","incongruent"
"847","f","true","0","180","or","repetition","incongruent"
"898","f","true","0","180","or","repetition","incongruent"
"793","j","true","0","0","mov","switch","congruent"
"1327","j","true","0","0","or","switch","congruent"
"1266","f","true","180","180","or","repetition","congruent"
"895","j","true","0","180","mov","switch","incongruent"
"1074","f","true","0","180","or","switch","incongruent"
"1626","f","true","0","180","or","repetition","incongruent"
"715","j","true","180","0","or","repetition","incongruent"
"1393","f","true","0","180","or","repetition","incongruent"
"608","f","true","180","0","mov","switch","incongruent"
"694","j","true","0","0","or","switch","congruent"
"632","f","true","180","0","mov","switch","incongruent"
"600","f","true","180","180","mov","repetition","congruent"
"550","f","true","180","180","mov","repetition","congruent"
"1246","j","false","180","180","or","switch","congruent"
"630","f","true","180","180","mov","switch","congruent"
"439","j","true","0","180","mov","repetition","incongruent"
"772","j","true","0","0","or","switch","congruent"
"969","f","false","0","0","mov","switch","congruent"
"1310","j","true","180","0","or","switch","incongruent"
"1208","f","true","180","180","or","repetition","congruent"
"967","j","true","0","0","mov","switch","congruent"
"512","j","true","0","180","mov","repetition","incongruent"
"1124","f","true","180","180","mov","repetition","congruent"
"-1","","false","0","0","or","switch","congruent"
"-1","","false","0","180","or","repetition","incongruent"
