"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"1645","j","false","180","0","mov","null","incongruent"
"887","f","true","180","180","mov","repetition","congruent"
"369","j","true","0","0","or","switch","congruent"
"321","j","false","0","180","or","repetition","incongruent"
"838","f","true","180","0","mov","switch","incongruent"
"1151","j","true","180","0","or","switch","incongruent"
"910","j","true","0","0","mov","switch","congruent"
"1525","f","false","0","180","mov","repetition","incongruent"
"1534","j","false","180","180","mov","repetition","congruent"
"-1","","false","180","180","or","switch","congruent"
"-1","","false","0","0","or","repetition","congruent"
"-1","","false","180","180","mov","switch","congruent"
"-1","","false","180","180","or","switch","congruent"
"316","j","false","180","180","or","repetition","congruent"
"-1","","false","0","180","mov","switch","incongruent"
"888","j","false","180","0","mov","repetition","incongruent"
"892","f","false","0","0","mov","repetition","congruent"
"719","f","true","0","180","or","switch","incongruent"
"-1","","false","0","0","mov","switch","congruent"
"-1","","false","180","180","mov","repetition","congruent"
"742","j","true","0","0","or","switch","congruent"
"1347","j","true","0","180","mov","switch","incongruent"
"846","j","true","0","180","mov","repetition","incongruent"
"753","j","false","180","180","mov","repetition","congruent"
"734","f","true","180","0","mov","repetition","incongruent"
"1451","f","false","0","0","mov","repetition","congruent"
"1219","j","true","180","0","or","switch","incongruent"
"911","f","false","0","180","mov","switch","incongruent"
"1570","f","true","0","180","or","switch","incongruent"
"1011","j","false","180","180","mov","switch","congruent"
"1087","j","false","180","0","mov","repetition","incongruent"
"1016","j","true","0","0","or","switch","congruent"
"1756","f","false","0","0","mov","switch","congruent"
"942","f","false","0","0","mov","repetition","congruent"
"1405","f","true","0","180","or","switch","incongruent"
"1729","f","false","0","180","mov","switch","incongruent"
"1769","j","false","180","180","mov","repetition","congruent"
"-1","","false","180","0","mov","repetition","incongruent"
"-1","","false","0","0","or","switch","congruent"
"1471","f","true","0","180","or","repetition","incongruent"
"1323","j","true","180","0","or","repetition","incongruent"
"1415","f","true","180","180","mov","switch","congruent"
"640","f","true","180","0","mov","repetition","incongruent"
"576","j","true","0","0","mov","repetition","congruent"
"1628","f","false","180","0","or","switch","incongruent"
"1139","j","true","0","0","or","repetition","congruent"
"1057","j","true","180","0","or","repetition","incongruent"
"1919","f","true","180","180","or","repetition","congruent"
"1377","f","true","180","180","or","repetition","congruent"
"-1","","false","0","180","or","repetition","incongruent"
"1615","f","true","180","180","or","repetition","congruent"
"1589","j","true","180","0","or","repetition","incongruent"
"791","j","true","0","0","or","repetition","congruent"
"1015","j","true","0","0","or","repetition","congruent"
"660","f","true","180","180","mov","switch","congruent"
"1051","f","false","0","180","mov","repetition","incongruent"
"1169","f","true","0","180","or","switch","incongruent"
"1156","f","true","180","180","or","repetition","congruent"
"554","j","true","0","180","mov","switch","incongruent"
"1887","j","false","180","0","mov","repetition","incongruent"
"916","f","false","0","180","mov","repetition","incongruent"
"963","j","true","180","0","or","switch","incongruent"
"962","f","false","0","0","mov","switch","congruent"
"852","j","true","180","0","or","switch","incongruent"
"1488","f","false","0","0","or","repetition","congruent"
"438","j","false","180","0","mov","switch","incongruent"
"-1","","false","180","180","or","switch","congruent"
"1311","f","false","0","0","or","repetition","congruent"
"1713","f","true","0","180","or","repetition","incongruent"
"1581","f","false","0","0","mov","switch","congruent"
"-1","","false","0","180","mov","repetition","incongruent"
"1788","j","false","180","180","mov","repetition","congruent"
"986","f","true","0","180","or","switch","incongruent"
"721","j","true","0","0","or","repetition","congruent"
"1308","j","true","0","0","mov","switch","congruent"
"1573","f","false","180","0","or","switch","incongruent"
"710","f","true","0","180","or","repetition","incongruent"
"1182","f","false","0","0","mov","switch","congruent"
"1055","f","true","180","180","or","switch","congruent"
"1312","f","true","180","180","mov","switch","congruent"
"989","f","true","180","180","or","switch","congruent"
"509","f","false","0","180","mov","switch","incongruent"
"337","j","false","180","0","mov","repetition","incongruent"
"1331","f","true","180","180","or","switch","congruent"
"1048","j","false","180","0","mov","switch","incongruent"
"-1","","false","0","0","mov","repetition","congruent"
"1825","j","true","180","0","or","switch","incongruent"
"1175","f","true","180","180","or","repetition","congruent"
"1390","f","true","180","180","mov","switch","congruent"
"1613","f","true","0","180","or","switch","incongruent"
"-1","","false","0","180","or","repetition","incongruent"
"1072","f","false","0","180","mov","switch","incongruent"
"1569","j","false","180","0","mov","repetition","incongruent"
"1303","j","true","180","0","or","switch","incongruent"
"1934","f","false","180","0","or","repetition","incongruent"
"-1","","false","0","0","or","repetition","congruent"
