"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"540","f","false","0","0","or","null","congruent"
"1245","j","true","180","0","or","repetition","incongruent"
"946","j","false","180","0","mov","switch","incongruent"
"776","f","false","0","0","or","switch","congruent"
"781","j","true","0","0","mov","switch","congruent"
"506","f","true","0","180","or","switch","incongruent"
"442","j","true","0","0","or","repetition","congruent"
"1081","f","true","180","0","mov","switch","incongruent"
"1345","j","false","0","180","or","switch","incongruent"
"866","j","true","0","0","mov","switch","congruent"
"649","f","false","180","0","or","switch","incongruent"
"890","j","false","180","0","mov","switch","incongruent"
"873","f","true","180","180","mov","repetition","congruent"
"1080","f","true","0","180","or","switch","incongruent"
"867","j","true","0","0","mov","switch","congruent"
"1017","j","false","180","0","mov","repetition","incongruent"
"833","j","true","180","0","or","switch","incongruent"
"862","j","true","0","0","or","repetition","congruent"
"591","f","true","180","180","or","repetition","congruent"
"586","j","true","0","0","mov","switch","congruent"
"689","f","true","180","180","or","switch","congruent"
"1027","f","true","180","180","mov","switch","congruent"
"999","j","true","180","0","or","switch","incongruent"
"1205","j","true","0","0","or","repetition","congruent"
"903","j","true","180","0","or","repetition","incongruent"
"980","j","true","0","0","or","repetition","congruent"
"1274","j","false","180","180","or","repetition","congruent"
"1637","j","true","0","180","mov","switch","incongruent"
"716","f","true","180","180","mov","repetition","congruent"
"685","f","true","180","180","mov","repetition","congruent"
"987","j","true","0","0","or","switch","congruent"
"1155","f","false","180","0","or","repetition","incongruent"
"907","f","true","180","180","mov","switch","congruent"
"1091","j","true","0","180","mov","repetition","incongruent"
"917","j","true","180","0","or","switch","incongruent"
"1259","f","true","180","180","mov","switch","congruent"
"726","j","false","0","180","or","switch","incongruent"
"1215","j","false","180","180","or","repetition","congruent"
"889","f","true","180","0","mov","switch","incongruent"
"959","j","false","180","0","mov","repetition","incongruent"
"781","j","true","0","0","mov","repetition","congruent"
"824","j","false","0","180","or","switch","incongruent"
"723","f","true","180","180","mov","switch","congruent"
"985","j","true","0","0","mov","repetition","congruent"
"589","f","true","180","180","or","switch","congruent"
"862","f","true","180","180","or","repetition","congruent"
"771","j","true","0","0","or","repetition","congruent"
"1093","f","true","180","180","or","repetition","congruent"
"996","f","true","180","180","or","repetition","congruent"
"932","j","true","0","180","mov","switch","incongruent"
"1219","j","true","180","0","or","switch","incongruent"
"689","f","true","180","0","mov","switch","incongruent"
"987","j","false","180","180","mov","repetition","congruent"
"887","j","true","0","0","or","switch","congruent"
"1107","j","false","180","0","mov","switch","incongruent"
"826","j","true","0","180","mov","repetition","incongruent"
"814","j","true","180","0","or","switch","incongruent"
"880","f","true","180","180","or","repetition","congruent"
"590","j","true","0","180","mov","switch","incongruent"
"636","j","true","0","180","mov","repetition","incongruent"
"814","f","true","180","180","or","switch","congruent"
"607","j","true","0","0","mov","switch","congruent"
"1447","f","true","180","180","mov","repetition","congruent"
"918","f","true","180","180","mov","repetition","congruent"
"1054","f","true","180","180","or","switch","congruent"
"652","j","false","0","180","or","repetition","incongruent"
"666","j","true","0","0","mov","switch","congruent"
"726","j","true","0","0","mov","repetition","congruent"
"457","j","true","0","0","mov","repetition","congruent"
"834","f","false","0","0","or","switch","congruent"
"1132","f","true","0","180","or","repetition","incongruent"
"748","f","false","0","0","or","repetition","congruent"
"703","j","true","0","180","mov","switch","incongruent"
"518","j","true","0","0","mov","repetition","congruent"
"607","j","true","0","180","mov","repetition","incongruent"
"745","f","true","180","180","mov","repetition","congruent"
"639","j","true","0","180","mov","repetition","incongruent"
"665","j","true","0","180","mov","repetition","incongruent"
"795","f","true","0","180","or","switch","incongruent"
"771","j","true","0","0","or","repetition","congruent"
"1317","j","true","0","0","mov","switch","congruent"
"654","j","true","0","180","mov","repetition","incongruent"
"673","j","true","0","180","mov","repetition","incongruent"
"1288","f","true","180","0","mov","repetition","incongruent"
"780","j","false","0","180","or","switch","incongruent"
"1532","f","true","0","180","or","repetition","incongruent"
"671","f","true","180","0","mov","switch","incongruent"
"1127","f","false","180","0","or","switch","incongruent"
"592","f","true","180","180","or","repetition","congruent"
"657","f","true","180","180","mov","switch","congruent"
"787","f","true","180","0","mov","repetition","incongruent"
"714","f","true","0","180","or","switch","incongruent"
"796","j","true","180","0","or","repetition","incongruent"
"635","f","true","0","180","or","repetition","incongruent"
"791","j","true","180","0","or","repetition","incongruent"
"513","f","true","180","0","mov","switch","incongruent"
