"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"583","j","true","0","0","mov","null","congruent"
"468","f","false","180","0","or","switch","incongruent"
"540","j","true","0","180","mov","switch","incongruent"
"455","f","false","180","0","or","switch","incongruent"
"454","f","true","180","180","or","repetition","congruent"
"408","j","false","0","180","or","repetition","incongruent"
"489","f","true","180","180","mov","switch","congruent"
"514","j","true","0","0","mov","repetition","congruent"
"486","j","true","0","0","mov","repetition","congruent"
"440","f","true","180","180","or","switch","congruent"
"470","f","true","180","0","mov","switch","incongruent"
"525","f","true","180","180","or","switch","congruent"
"509","f","true","180","0","mov","switch","incongruent"
"581","f","true","180","180","mov","repetition","congruent"
"657","f","true","180","0","mov","repetition","incongruent"
"481","f","false","180","0","or","switch","incongruent"
"625","f","false","180","0","or","repetition","incongruent"
"460","j","false","0","180","or","repetition","incongruent"
"513","f","true","180","0","mov","switch","incongruent"
"583","j","true","0","0","or","switch","congruent"
"435","j","true","0","180","mov","switch","incongruent"
"551","j","true","0","0","mov","repetition","congruent"
"583","j","true","0","180","mov","repetition","incongruent"
"458","j","true","0","0","or","switch","congruent"
"595","j","true","0","0","mov","switch","congruent"
"474","f","true","180","0","mov","repetition","incongruent"
"591","j","false","0","180","or","switch","incongruent"
"462","j","false","0","180","or","repetition","incongruent"
"494","j","true","0","0","or","repetition","congruent"
"605","j","true","0","180","mov","switch","incongruent"
"476","j","true","0","0","mov","repetition","congruent"
"526","j","true","0","0","or","switch","congruent"
"506","j","true","0","180","mov","switch","incongruent"
"598","j","true","0","0","or","switch","congruent"
"608","j","false","0","180","or","repetition","incongruent"
"506","f","true","180","180","mov","switch","congruent"
"516","j","true","0","0","mov","repetition","congruent"
"536","f","false","180","0","or","switch","incongruent"
"512","j","true","0","180","mov","switch","incongruent"
"608","j","true","0","0","mov","repetition","congruent"
"536","j","true","0","0","mov","repetition","congruent"
"539","j","true","0","180","mov","repetition","incongruent"
"488","f","false","180","0","or","switch","incongruent"
"560","f","true","180","180","or","repetition","congruent"
"477","j","false","0","180","or","repetition","incongruent"
"510","j","false","0","180","or","repetition","incongruent"
"533","f","true","180","180","or","repetition","congruent"
"543","f","true","180","180","mov","switch","congruent"
"526","f","true","180","0","mov","repetition","incongruent"
"627","j","true","0","180","mov","repetition","incongruent"
"507","j","true","0","0","or","switch","congruent"
"510","f","true","180","0","mov","switch","incongruent"
"663","j","true","0","0","or","switch","congruent"
"531","f","true","180","180","or","repetition","congruent"
"553","f","false","180","0","or","repetition","incongruent"
"562","f","true","180","180","mov","switch","congruent"
"572","j","true","0","0","or","switch","congruent"
"405","j","true","0","0","or","repetition","congruent"
"462","f","true","180","180","mov","switch","congruent"
"560","f","false","180","0","or","switch","incongruent"
"485","f","true","180","180","or","repetition","congruent"
"493","f","true","180","0","mov","switch","incongruent"
"611","f","true","180","180","or","switch","congruent"
"615","f","true","180","0","mov","switch","incongruent"
"480","f","false","180","0","or","switch","incongruent"
"490","f","true","180","0","mov","switch","incongruent"
"458","j","true","0","180","mov","repetition","incongruent"
"520","f","true","180","180","or","switch","congruent"
"574","f","true","180","180","mov","switch","congruent"
"487","f","true","180","180","mov","repetition","congruent"
"482","j","true","0","0","mov","repetition","congruent"
"498","j","true","0","180","mov","repetition","incongruent"
"480","j","true","0","0","mov","repetition","congruent"
"562","f","true","180","0","mov","repetition","incongruent"
"633","j","false","0","180","or","switch","incongruent"
"512","f","true","180","180","or","repetition","congruent"
"449","f","false","180","0","or","repetition","incongruent"
"537","f","true","180","180","mov","switch","congruent"
"500","j","true","0","0","mov","repetition","congruent"
"577","f","true","180","180","mov","repetition","congruent"
"520","f","true","180","180","mov","repetition","congruent"
"697","j","true","0","180","mov","repetition","incongruent"
"613","j","true","0","0","or","switch","congruent"
"561","f","false","180","0","or","repetition","incongruent"
"502","j","false","0","180","or","repetition","incongruent"
"712","f","false","180","0","or","repetition","incongruent"
"594","f","true","180","180","or","repetition","congruent"
"585","j","false","0","180","or","repetition","incongruent"
"614","j","false","0","180","or","repetition","incongruent"
"574","j","true","0","180","mov","switch","incongruent"
"520","f","true","180","180","or","switch","congruent"
"526","f","true","180","180","mov","switch","congruent"
"640","j","false","0","180","or","switch","incongruent"
"787","j","true","0","0","or","repetition","congruent"
"589","f","true","180","0","mov","switch","incongruent"
"506","j","true","0","0","or","switch","congruent"
