"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"1282","j","true","180","0","or","null","incongruent"
"1129","j","true","0","180","mov","switch","incongruent"
"1023","f","true","0","180","or","switch","incongruent"
"674","j","true","0","0","mov","switch","congruent"
"724","j","true","0","0","or","switch","congruent"
"842","f","true","180","180","mov","switch","congruent"
"856","f","true","180","0","mov","repetition","incongruent"
"-1","","false","0","0","or","switch","congruent"
"1729","f","true","0","180","or","repetition","incongruent"
"898","f","true","180","180","or","repetition","congruent"
"1556","j","true","180","0","or","repetition","incongruent"
"1541","f","true","180","180","or","repetition","congruent"
"921","j","true","0","180","mov","switch","incongruent"
"1106","f","true","180","180","or","switch","congruent"
"808","f","true","180","180","mov","switch","congruent"
"881","f","true","180","0","mov","repetition","incongruent"
"1388","f","true","180","180","or","switch","congruent"
"1554","f","true","180","180","or","repetition","congruent"
"789","j","true","0","0","mov","switch","congruent"
"763","j","true","0","180","mov","repetition","incongruent"
"1124","f","true","0","180","or","switch","incongruent"
"993","f","true","0","180","or","repetition","incongruent"
"881","f","true","180","180","mov","switch","congruent"
"804","j","true","0","180","mov","repetition","incongruent"
"804","j","true","0","0","mov","repetition","congruent"
"1474","f","true","180","180","mov","repetition","congruent"
"1116","j","true","0","0","or","switch","congruent"
"1008","j","true","0","0","or","repetition","congruent"
"1172","f","true","180","180","or","repetition","congruent"
"695","j","true","0","0","or","repetition","congruent"
"556","f","true","180","0","mov","switch","incongruent"
"483","f","true","180","0","mov","repetition","incongruent"
"1347","f","true","180","180","or","switch","congruent"
"1367","f","true","180","180","or","repetition","congruent"
"653","j","true","0","0","mov","switch","congruent"
"596","f","true","180","0","mov","repetition","incongruent"
"1267","j","true","180","0","or","switch","incongruent"
"760","j","true","0","180","mov","switch","incongruent"
"1159","f","true","180","180","mov","repetition","congruent"
"782","f","true","0","180","or","switch","incongruent"
"686","f","true","180","0","mov","switch","incongruent"
"1102","j","true","0","0","or","switch","congruent"
"1412","j","true","0","0","or","repetition","congruent"
"1112","j","true","0","180","mov","switch","incongruent"
"756","f","true","180","0","mov","repetition","incongruent"
"623","j","true","0","180","mov","repetition","incongruent"
"-1","","false","0","180","or","switch","incongruent"
"1047","j","true","180","0","or","repetition","incongruent"
"862","j","true","0","0","or","repetition","congruent"
"1340","f","true","0","180","or","repetition","incongruent"
"1269","j","true","0","0","or","repetition","congruent"
"941","f","true","180","180","mov","switch","congruent"
"1270","f","true","0","180","or","switch","incongruent"
"880","j","true","0","0","mov","switch","congruent"
"837","j","true","0","180","mov","repetition","incongruent"
"886","f","true","180","180","mov","repetition","congruent"
"1184","j","true","0","0","mov","repetition","congruent"
"1505","j","true","0","0","or","switch","congruent"
"1127","f","true","0","180","or","repetition","incongruent"
"1498","j","true","0","0","mov","switch","congruent"
"667","f","true","180","180","mov","repetition","congruent"
"657","j","true","0","0","mov","repetition","congruent"
"1034","j","true","180","0","or","switch","incongruent"
"771","j","true","0","180","mov","switch","incongruent"
"727","j","true","0","180","mov","repetition","incongruent"
"684","j","true","0","0","mov","repetition","congruent"
"1148","f","true","180","0","mov","repetition","incongruent"
"1566","j","true","0","0","or","switch","congruent"
"1142","j","true","180","0","or","repetition","incongruent"
"1435","j","true","0","0","mov","switch","congruent"
"1251","j","true","180","0","or","switch","incongruent"
"1350","j","true","0","180","mov","switch","incongruent"
"1228","f","true","180","0","mov","repetition","incongruent"
"1068","f","false","180","0","or","switch","incongruent"
"1437","j","true","180","0","or","repetition","incongruent"
"1026","f","true","0","180","or","repetition","incongruent"
"922","f","true","180","0","mov","switch","incongruent"
"1077","f","true","0","180","or","switch","incongruent"
"836","f","true","0","180","or","repetition","incongruent"
"819","f","true","180","0","mov","switch","incongruent"
"1627","j","true","180","0","or","switch","incongruent"
"566","j","true","0","0","mov","switch","congruent"
"1046","f","true","180","180","or","switch","congruent"
"663","j","true","0","180","mov","switch","incongruent"
"779","f","true","180","180","mov","repetition","congruent"
"1011","f","true","180","180","or","switch","congruent"
"1292","f","true","180","180","or","repetition","congruent"
"697","f","true","180","180","mov","switch","congruent"
"1351","f","true","180","180","or","switch","congruent"
"1482","j","true","0","0","or","repetition","congruent"
"1809","j","true","180","0","or","repetition","incongruent"
"1489","f","false","180","0","or","repetition","incongruent"
"1305","f","true","180","180","mov","switch","congruent"
"746","j","true","0","0","mov","repetition","congruent"
"585","f","true","180","180","mov","repetition","congruent"
"1194","f","true","180","0","mov","repetition","incongruent"
