"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"1173","j","true","0","180","mov","null","incongruent"
"1402","j","true","0","0","mov","repetition","congruent"
"1479","j","true","0","0","mov","repetition","congruent"
"1752","j","true","0","0","mov","repetition","congruent"
"1277","f","true","0","180","or","switch","incongruent"
"1687","j","true","0","0","or","repetition","congruent"
"1642","f","false","0","180","mov","switch","incongruent"
"1080","f","true","180","0","mov","repetition","incongruent"
"718","j","true","0","0","mov","repetition","congruent"
"979","f","true","0","180","or","switch","incongruent"
"1443","j","true","180","0","or","repetition","incongruent"
"1626","f","true","180","180","or","repetition","congruent"
"767","j","true","0","180","mov","switch","incongruent"
"1568","j","true","180","0","or","switch","incongruent"
"1081","f","true","180","180","or","repetition","congruent"
"-1","","false","0","0","or","repetition","congruent"
"1811","f","false","0","0","or","repetition","congruent"
"924","f","true","180","0","mov","switch","incongruent"
"990","j","false","0","180","or","switch","incongruent"
"1020","f","true","180","0","mov","switch","incongruent"
"1548","f","true","180","180","mov","repetition","congruent"
"947","j","true","0","180","mov","repetition","incongruent"
"1108","f","true","0","180","or","switch","incongruent"
"1367","f","true","180","180","mov","switch","congruent"
"1743","f","true","180","0","mov","repetition","incongruent"
"1416","f","true","180","180","mov","repetition","congruent"
"637","j","true","0","180","mov","repetition","incongruent"
"1548","j","true","0","0","mov","repetition","congruent"
"1148","f","true","0","180","or","switch","incongruent"
"891","f","true","180","180","mov","switch","congruent"
"1638","f","true","180","0","mov","repetition","incongruent"
"1853","j","true","180","0","or","switch","incongruent"
"1029","f","true","180","0","mov","switch","incongruent"
"-1","","false","180","180","or","switch","congruent"
"807","j","true","0","180","mov","switch","incongruent"
"1582","j","true","0","180","mov","repetition","incongruent"
"720","f","true","180","180","mov","repetition","congruent"
"1545","j","false","180","180","or","switch","congruent"
"1434","j","true","0","0","mov","switch","congruent"
"1078","f","true","180","180","or","switch","congruent"
"1522","j","true","0","0","or","repetition","congruent"
"1106","f","true","180","0","mov","switch","incongruent"
"1375","j","false","0","180","or","switch","incongruent"
"1273","f","true","180","180","mov","switch","congruent"
"1984","f","false","0","180","mov","repetition","incongruent"
"1257","f","true","180","180","or","switch","congruent"
"1660","f","true","180","180","mov","switch","congruent"
"1193","j","true","0","0","mov","repetition","congruent"
"1453","j","true","0","180","mov","repetition","incongruent"
"1560","j","true","0","180","mov","repetition","incongruent"
"1622","f","true","180","180","or","switch","congruent"
"1033","j","true","180","0","or","repetition","incongruent"
"-1","","false","180","0","or","repetition","incongruent"
"772","f","true","180","180","mov","switch","congruent"
"-1","","false","180","0","or","switch","incongruent"
"1363","f","true","180","180","or","repetition","congruent"
"813","j","true","0","0","mov","switch","congruent"
"-1","","false","180","0","or","switch","incongruent"
"1424","j","false","0","180","or","repetition","incongruent"
"1558","f","true","180","180","or","repetition","congruent"
"665","j","true","0","0","mov","switch","congruent"
"-1","","false","180","180","mov","repetition","congruent"
"1897","j","true","0","180","mov","repetition","incongruent"
"1297","j","true","0","0","or","switch","congruent"
"1561","j","true","0","0","or","repetition","congruent"
"1445","j","true","180","0","or","repetition","incongruent"
"1166","f","true","180","180","mov","switch","congruent"
"1357","f","true","0","180","or","switch","incongruent"
"813","j","true","0","0","mov","switch","congruent"
"1931","j","true","0","0","or","switch","congruent"
"1502","j","true","0","0","or","repetition","congruent"
"1717","f","false","0","0","or","repetition","congruent"
"1403","j","true","0","0","or","repetition","congruent"
"1434","f","true","180","0","mov","switch","incongruent"
"756","j","true","0","0","mov","repetition","congruent"
"1740","f","true","0","180","or","switch","incongruent"
"1707","j","true","0","0","mov","switch","congruent"
"1105","f","false","180","0","or","switch","incongruent"
"970","j","false","0","180","or","repetition","incongruent"
"1081","f","true","0","180","or","repetition","incongruent"
"1455","j","true","180","0","or","repetition","incongruent"
"1029","f","true","180","0","mov","switch","incongruent"
"1623","j","true","0","0","or","switch","congruent"
"1725","f","true","180","180","mov","switch","congruent"
"-1","","false","180","0","mov","repetition","incongruent"
"-1","","false","180","0","or","switch","incongruent"
"1568","f","true","0","180","or","repetition","incongruent"
"978","j","true","0","180","mov","switch","incongruent"
"1295","f","true","180","180","mov","repetition","congruent"
"1458","f","true","180","180","or","switch","congruent"
"-1","","false","180","180","or","repetition","congruent"
"1392","j","false","180","0","mov","switch","incongruent"
"1768","f","true","180","0","mov","repetition","incongruent"
"1119","f","true","180","180","or","switch","congruent"
"1089","j","true","180","0","or","repetition","incongruent"
"1912","j","true","0","0","or","repetition","congruent"
