"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"1051","j","true","0","0","or","null","congruent"
"984","j","true","0","0","mov","switch","congruent"
"1157","j","true","0","180","mov","repetition","incongruent"
"1014","f","true","180","0","mov","repetition","incongruent"
"1157","f","true","180","180","or","switch","congruent"
"924","j","false","0","180","or","repetition","incongruent"
"1063","f","true","180","0","mov","switch","incongruent"
"1234","j","true","180","0","or","switch","incongruent"
"1369","j","false","0","180","or","repetition","incongruent"
"1555","f","true","180","180","or","repetition","congruent"
"1259","j","true","0","180","mov","switch","incongruent"
"1187","f","false","0","0","or","switch","congruent"
"1423","f","false","180","0","or","repetition","incongruent"
"914","j","true","0","0","mov","switch","congruent"
"1388","f","true","180","0","mov","repetition","incongruent"
"1085","f","true","180","0","mov","repetition","incongruent"
"964","j","true","0","0","mov","repetition","congruent"
"1162","f","false","180","0","or","switch","incongruent"
"1141","f","true","180","0","mov","switch","incongruent"
"1422","j","false","0","180","or","switch","incongruent"
"957","j","true","0","180","mov","switch","incongruent"
"939","f","true","180","180","or","switch","congruent"
"1095","f","true","180","180","or","repetition","congruent"
"1057","j","false","0","180","or","repetition","incongruent"
"901","j","true","0","0","mov","switch","congruent"
"994","j","true","0","180","mov","repetition","incongruent"
"1004","f","true","0","180","or","switch","incongruent"
"1119","f","true","180","0","mov","switch","incongruent"
"1463","j","false","180","180","or","switch","congruent"
"1071","f","true","180","180","mov","switch","congruent"
"1109","f","true","180","180","mov","repetition","congruent"
"1365","j","true","0","0","or","switch","congruent"
"1487","f","true","180","180","mov","switch","congruent"
"984","j","true","0","0","mov","repetition","congruent"
"1245","f","true","180","0","mov","repetition","incongruent"
"1256","f","true","180","0","mov","repetition","incongruent"
"1197","j","true","180","0","or","switch","incongruent"
"1365","j","false","180","180","or","repetition","congruent"
"1059","f","true","180","0","mov","switch","incongruent"
"1292","f","true","180","180","mov","repetition","congruent"
"1154","f","true","180","180","mov","repetition","congruent"
"1672","f","true","0","180","or","switch","incongruent"
"1295","f","true","180","180","mov","switch","congruent"
"1391","f","true","180","180","or","switch","congruent"
"1277","j","false","180","180","mov","switch","congruent"
"1057","f","true","180","0","mov","repetition","incongruent"
"1096","j","true","0","0","mov","repetition","congruent"
"1000","j","true","0","0","mov","repetition","congruent"
"1209","j","true","0","0","mov","repetition","congruent"
"1286","f","false","180","0","or","switch","incongruent"
"1380","j","false","180","0","mov","switch","incongruent"
"1355","f","true","0","180","or","switch","incongruent"
"1896","j","true","180","0","or","repetition","incongruent"
"1340","f","true","180","180","mov","switch","congruent"
"1319","f","true","0","180","or","switch","incongruent"
"1399","j","true","0","0","or","repetition","congruent"
"1580","f","true","180","180","or","repetition","congruent"
"1366","j","true","180","0","or","repetition","incongruent"
"1894","j","true","0","0","or","repetition","congruent"
"1077","j","true","0","180","mov","switch","incongruent"
"1347","j","true","0","0","or","switch","congruent"
"1341","j","true","180","0","or","repetition","incongruent"
"1514","j","true","0","0","or","repetition","congruent"
"1129","j","true","0","0","or","repetition","congruent"
"841","j","true","0","180","mov","switch","incongruent"
"1322","f","false","0","0","mov","repetition","congruent"
"-1","","false","180","0","or","switch","incongruent"
"1442","f","true","180","180","mov","switch","congruent"
"1196","f","true","180","180","mov","repetition","congruent"
"1559","f","true","180","180","mov","repetition","congruent"
"1028","j","true","0","180","mov","repetition","incongruent"
"1352","f","true","180","180","or","switch","congruent"
"1597","f","true","180","180","or","repetition","congruent"
"1760","f","true","0","180","or","repetition","incongruent"
"1535","f","false","0","0","or","repetition","congruent"
"1701","f","true","0","180","or","repetition","incongruent"
"1773","f","false","180","0","or","repetition","incongruent"
"1084","j","true","0","180","mov","switch","incongruent"
"1303","j","true","0","0","or","switch","congruent"
"1821","f","false","0","180","mov","switch","incongruent"
"-1","","false","180","180","mov","repetition","congruent"
"1237","j","true","0","0","or","switch","congruent"
"1259","f","true","180","0","mov","switch","incongruent"
"1270","j","true","0","0","mov","repetition","congruent"
"1384","f","true","180","180","or","switch","congruent"
"1376","j","true","0","0","or","repetition","congruent"
"1454","j","true","180","0","or","repetition","incongruent"
"1186","j","true","0","180","mov","switch","incongruent"
"1270","j","true","0","180","mov","repetition","incongruent"
"1437","j","false","0","180","or","switch","incongruent"
"1382","f","false","0","0","mov","switch","congruent"
"1567","f","false","0","180","mov","repetition","incongruent"
"1171","j","false","180","180","or","switch","congruent"
"1305","f","true","0","180","or","repetition","incongruent"
"1468","j","true","180","0","or","repetition","incongruent"
"1306","f","false","0","0","mov","switch","congruent"
