"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"1318","f","true","180","180","mov","null","congruent"
"1785","f","true","180","180","or","switch","congruent"
"1152","j","true","0","0","mov","switch","congruent"
"1340","f","true","180","180","or","switch","congruent"
"1219","j","false","0","180","or","repetition","incongruent"
"689","f","true","180","0","mov","switch","incongruent"
"514","f","true","180","180","mov","repetition","congruent"
"1439","f","false","0","180","mov","repetition","incongruent"
"1110","j","true","0","180","mov","repetition","incongruent"
"621","f","true","180","0","mov","repetition","incongruent"
"1833","f","true","0","180","or","switch","incongruent"
"748","j","true","180","0","or","repetition","incongruent"
"946","f","true","180","180","or","repetition","congruent"
"1186","j","true","0","180","mov","switch","incongruent"
"1100","f","true","0","180","or","switch","incongruent"
"1237","f","true","180","180","mov","switch","congruent"
"489","j","true","0","0","mov","repetition","congruent"
"542","j","true","0","180","mov","repetition","incongruent"
"550","f","true","180","0","mov","repetition","incongruent"
"828","j","true","0","0","or","switch","congruent"
"739","f","true","180","180","mov","switch","congruent"
"856","j","true","0","0","or","switch","congruent"
"793","j","true","0","0","mov","switch","congruent"
"633","f","true","0","180","or","switch","incongruent"
"1059","j","true","180","0","or","repetition","incongruent"
"941","j","true","180","0","or","repetition","incongruent"
"821","f","true","180","180","or","repetition","congruent"
"559","j","true","0","0","mov","switch","congruent"
"1508","f","false","180","0","or","switch","incongruent"
"1077","f","true","180","0","mov","switch","incongruent"
"827","j","true","0","0","or","switch","congruent"
"1331","f","true","0","180","or","repetition","incongruent"
"1280","j","true","0","180","mov","switch","incongruent"
"986","f","true","0","180","or","switch","incongruent"
"1511","f","true","0","180","or","repetition","incongruent"
"940","f","true","180","180","or","repetition","congruent"
"1145","f","true","0","180","or","repetition","incongruent"
"1879","f","true","180","0","mov","switch","incongruent"
"686","j","true","0","0","mov","repetition","congruent"
"606","f","true","180","180","mov","repetition","congruent"
"524","f","true","180","180","mov","repetition","congruent"
"1803","f","true","0","180","or","switch","incongruent"
"1226","f","true","180","180","mov","switch","congruent"
"1481","j","true","180","0","or","switch","incongruent"
"1126","f","true","180","180","mov","switch","congruent"
"964","f","true","180","180","mov","repetition","congruent"
"647","f","true","180","0","mov","repetition","incongruent"
"517","f","true","180","0","mov","repetition","incongruent"
"1680","j","true","0","0","or","switch","congruent"
"1878","f","true","180","180","or","repetition","congruent"
"1057","f","true","180","180","or","repetition","congruent"
"1073","j","true","0","0","or","repetition","congruent"
"838","j","true","0","0","mov","switch","congruent"
"1635","j","true","0","0","or","switch","congruent"
"588","j","true","0","180","mov","switch","incongruent"
"728","j","true","0","0","mov","repetition","congruent"
"-1","","false","0","0","or","switch","congruent"
"958","j","true","0","0","or","repetition","congruent"
"1098","j","true","180","0","or","repetition","incongruent"
"1157","j","true","0","180","mov","switch","incongruent"
"658","j","true","0","0","mov","repetition","congruent"
"941","j","true","180","0","or","switch","incongruent"
"847","j","true","0","180","mov","switch","incongruent"
"1036","j","false","180","0","mov","repetition","incongruent"
"544","j","true","0","0","mov","repetition","congruent"
"1214","f","true","0","180","or","switch","incongruent"
"1235","j","true","0","0","mov","switch","congruent"
"624","j","true","0","0","mov","repetition","congruent"
"1174","f","true","180","180","mov","repetition","congruent"
"566","j","true","0","0","mov","repetition","congruent"
"642","j","true","0","180","mov","repetition","incongruent"
"573","f","true","180","180","mov","repetition","congruent"
"884","j","true","180","0","or","switch","incongruent"
"843","f","true","180","180","or","repetition","congruent"
"1820","f","true","180","0","mov","switch","incongruent"
"994","f","true","180","180","or","switch","congruent"
"1040","f","false","0","180","mov","switch","incongruent"
"1299","f","true","0","180","or","switch","incongruent"
"1130","j","true","0","180","mov","switch","incongruent"
"979","j","true","180","0","or","switch","incongruent"
"920","f","true","180","180","or","repetition","congruent"
"1456","j","true","180","0","or","repetition","incongruent"
"949","j","true","0","0","or","repetition","congruent"
"1244","j","true","0","0","or","repetition","congruent"
"1054","f","true","180","180","mov","switch","congruent"
"1782","j","true","180","0","or","switch","incongruent"
"1263","j","true","0","180","mov","switch","incongruent"
"692","f","true","180","0","mov","repetition","incongruent"
"1447","j","true","0","0","or","switch","congruent"
"1037","j","true","0","0","or","repetition","congruent"
"781","f","true","180","0","mov","switch","incongruent"
"580","f","true","180","0","mov","repetition","incongruent"
"831","f","true","180","180","or","switch","congruent"
"1368","f","true","0","180","or","repetition","incongruent"
"1068","j","true","180","0","or","repetition","incongruent"
"864","f","true","180","180","or","repetition","congruent"
