"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"1087","j","false","0","180","or","null","incongruent"
"1072","j","true","0","0","or","repetition","congruent"
"1123","f","true","180","180","or","repetition","congruent"
"992","j","true","0","0","or","repetition","congruent"
"1168","f","true","180","180","or","repetition","congruent"
"909","j","true","0","0","or","repetition","congruent"
"927","f","false","180","0","or","repetition","incongruent"
"1575","f","true","180","0","mov","switch","incongruent"
"1255","j","false","0","180","or","switch","incongruent"
"1191","j","true","0","0","mov","switch","congruent"
"1361","j","true","0","180","mov","repetition","incongruent"
"1085","j","true","0","0","or","switch","congruent"
"1148","f","false","0","0","mov","switch","congruent"
"1556","f","true","180","180","mov","repetition","congruent"
"1187","j","false","180","180","or","switch","congruent"
"1084","j","false","180","180","or","repetition","congruent"
"1211","f","true","180","0","mov","switch","incongruent"
"1386","f","true","180","180","mov","repetition","congruent"
"1216","f","true","180","0","mov","repetition","incongruent"
"1412","j","true","180","0","or","switch","incongruent"
"1354","j","false","180","180","mov","switch","congruent"
"1547","j","false","180","180","or","switch","congruent"
"1393","j","false","0","180","or","repetition","incongruent"
"1013","f","false","180","0","or","repetition","incongruent"
"2088","f","true","180","180","or","repetition","congruent"
"1510","f","true","180","0","mov","switch","incongruent"
"640","j","false","180","0","mov","repetition","incongruent"
"1657","j","true","180","0","or","switch","incongruent"
"1387","j","true","0","0","or","repetition","congruent"
"1174","j","true","0","0","mov","switch","congruent"
"1893","j","true","0","0","or","switch","congruent"
"707","f","false","0","180","mov","switch","incongruent"
"1356","j","true","0","180","mov","repetition","incongruent"
"1410","f","true","180","180","or","switch","congruent"
"1575","j","false","0","180","or","repetition","incongruent"
"1677","j","true","180","0","or","repetition","incongruent"
"1151","j","true","0","0","or","repetition","congruent"
"1787","f","true","180","180","mov","switch","congruent"
"1552","f","false","180","0","or","switch","incongruent"
"1158","j","true","0","0","mov","switch","congruent"
"1289","j","true","0","0","mov","repetition","congruent"
"1765","j","true","0","0","mov","repetition","congruent"
"-1","","false","180","0","or","switch","incongruent"
"1089","j","false","0","180","or","repetition","incongruent"
"1396","j","true","0","180","mov","switch","incongruent"
"966","f","true","0","180","or","switch","incongruent"
"1064","f","true","180","180","or","repetition","congruent"
"1244","j","true","0","0","or","repetition","congruent"
"1541","f","false","180","0","or","repetition","incongruent"
"1056","j","false","180","180","or","repetition","congruent"
"1420","j","true","0","0","mov","switch","congruent"
"1371","f","true","180","0","mov","repetition","incongruent"
"1577","f","false","180","0","or","switch","incongruent"
"-1","","false","0","180","mov","switch","incongruent"
"936","j","true","0","0","mov","repetition","congruent"
"1522","j","true","0","0","or","switch","congruent"
"1551","f","false","180","0","or","repetition","incongruent"
"1300","f","true","180","0","mov","switch","incongruent"
"844","j","false","0","180","or","switch","incongruent"
"1208","j","true","0","180","mov","switch","incongruent"
"867","j","true","0","0","or","switch","congruent"
"1044","j","true","0","0","mov","switch","congruent"
"1007","f","true","180","180","mov","repetition","congruent"
"905","f","true","180","0","mov","repetition","incongruent"
"752","j","false","0","180","or","switch","incongruent"
"885","j","true","0","0","or","repetition","congruent"
"1114","j","false","0","180","or","repetition","incongruent"
"1156","f","true","180","0","mov","switch","incongruent"
"1139","j","true","0","180","mov","repetition","incongruent"
"1044","f","true","180","0","mov","repetition","incongruent"
"833","f","true","180","180","mov","repetition","congruent"
"875","j","false","0","180","or","switch","incongruent"
"748","f","true","180","0","mov","switch","incongruent"
"735","f","true","180","180","mov","repetition","congruent"
"929","j","true","0","180","mov","repetition","incongruent"
"818","f","false","180","0","or","switch","incongruent"
"861","j","true","0","180","mov","switch","incongruent"
"820","f","true","180","180","mov","repetition","congruent"
"939","j","true","0","180","mov","repetition","incongruent"
"769","j","false","0","180","or","switch","incongruent"
"969","j","true","0","0","mov","switch","congruent"
"726","f","true","180","180","or","switch","congruent"
"718","f","true","180","180","or","repetition","congruent"
"1123","f","true","180","0","mov","switch","incongruent"
"767","j","true","0","0","mov","repetition","congruent"
"835","f","true","180","180","or","switch","congruent"
"657","j","true","0","0","mov","switch","congruent"
"609","f","true","180","180","mov","repetition","congruent"
"580","f","true","180","180","mov","repetition","congruent"
"1216","f","true","180","180","mov","repetition","congruent"
"689","j","true","0","180","mov","repetition","incongruent"
"824","j","false","0","180","or","switch","incongruent"
"725","j","true","0","180","mov","switch","incongruent"
"728","f","false","180","0","or","switch","incongruent"
"632","j","true","0","0","or","repetition","congruent"
"571","f","true","180","180","mov","switch","congruent"
