"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"879","j","true","0","0","or","null","congruent"
"683","j","true","0","0","mov","switch","congruent"
"554","f","true","180","180","mov","repetition","congruent"
"820","j","true","0","180","mov","repetition","incongruent"
"1072","f","true","0","180","or","switch","incongruent"
"796","j","true","0","180","mov","switch","incongruent"
"1105","f","true","180","180","or","switch","congruent"
"747","j","true","0","0","or","repetition","congruent"
"594","j","true","0","0","mov","switch","congruent"
"882","j","true","0","0","or","switch","congruent"
"836","f","true","180","180","or","repetition","congruent"
"610","j","true","0","0","mov","switch","congruent"
"892","j","true","180","0","or","switch","incongruent"
"869","f","true","0","180","or","repetition","incongruent"
"939","j","true","180","0","or","repetition","incongruent"
"898","j","true","180","0","or","repetition","incongruent"
"655","j","true","0","0","or","repetition","congruent"
"940","j","false","0","180","or","repetition","incongruent"
"673","f","true","180","180","mov","switch","congruent"
"777","f","true","180","180","mov","repetition","congruent"
"728","j","true","0","0","mov","repetition","congruent"
"583","j","true","0","0","mov","repetition","congruent"
"606","f","true","180","0","mov","repetition","incongruent"
"1114","j","true","180","0","or","switch","incongruent"
"918","j","false","180","0","mov","switch","incongruent"
"890","j","true","0","0","mov","repetition","congruent"
"790","f","true","180","180","mov","repetition","congruent"
"493","j","true","0","180","mov","repetition","incongruent"
"862","f","true","0","180","or","switch","incongruent"
"984","f","true","180","180","mov","switch","congruent"
"684","j","true","0","0","or","switch","congruent"
"552","j","true","0","0","mov","switch","congruent"
"600","j","true","0","180","mov","repetition","incongruent"
"1191","f","true","0","180","or","switch","incongruent"
"830","j","true","0","180","mov","switch","incongruent"
"771","f","false","180","0","or","switch","incongruent"
"887","f","true","180","180","or","repetition","congruent"
"854","f","false","0","0","or","repetition","congruent"
"576","j","true","0","180","mov","switch","incongruent"
"1142","f","false","180","0","or","switch","incongruent"
"940","j","false","180","0","mov","switch","incongruent"
"890","f","false","0","180","mov","repetition","incongruent"
"502","j","true","0","0","mov","repetition","congruent"
"910","f","true","180","0","mov","repetition","incongruent"
"1042","j","false","0","180","or","switch","incongruent"
"932","f","false","0","0","or","repetition","congruent"
"861","j","true","0","180","mov","switch","incongruent"
"830","f","true","0","180","or","switch","incongruent"
"731","f","true","0","180","or","repetition","incongruent"
"705","j","true","0","0","or","repetition","congruent"
"556","f","true","0","180","or","repetition","incongruent"
"685","f","true","180","0","mov","switch","incongruent"
"657","f","true","180","0","mov","repetition","incongruent"
"1304","f","true","180","180","or","switch","congruent"
"679","f","true","180","180","or","repetition","congruent"
"1309","j","true","180","0","or","repetition","incongruent"
"1237","j","false","180","180","mov","switch","congruent"
"795","j","false","180","0","mov","repetition","incongruent"
"629","j","false","180","0","mov","repetition","incongruent"
"619","f","true","180","180","mov","repetition","congruent"
"1131","f","false","180","0","or","switch","incongruent"
"1438","f","false","0","0","or","repetition","congruent"
"958","j","false","180","180","or","repetition","congruent"
"581","f","true","0","180","or","repetition","incongruent"
"662","f","false","0","0","or","repetition","congruent"
"1097","f","false","0","180","mov","switch","incongruent"
"941","j","false","180","0","mov","repetition","incongruent"
"898","j","true","0","0","or","switch","congruent"
"1730","j","true","180","0","or","repetition","incongruent"
"935","f","true","180","180","or","repetition","congruent"
"648","j","true","0","0","mov","switch","congruent"
"1260","j","false","180","0","mov","repetition","incongruent"
"1026","f","false","0","180","mov","repetition","incongruent"
"695","j","true","0","180","mov","repetition","incongruent"
"537","j","true","0","0","mov","repetition","congruent"
"609","j","true","0","180","mov","repetition","incongruent"
"764","f","false","180","0","or","switch","incongruent"
"632","f","true","180","180","mov","switch","congruent"
"1222","f","true","180","180","or","switch","congruent"
"867","f","true","0","180","or","repetition","incongruent"
"502","j","true","0","0","mov","switch","congruent"
"647","f","true","0","180","or","switch","incongruent"
"1231","f","true","180","180","mov","switch","congruent"
"728","f","true","180","180","or","switch","congruent"
"493","j","false","180","0","mov","switch","incongruent"
"683","f","true","180","180","or","switch","congruent"
"839","j","false","180","180","mov","switch","congruent"
"654","j","true","0","0","or","switch","congruent"
"739","j","false","180","0","mov","switch","incongruent"
"1412","j","true","180","0","or","switch","incongruent"
"900","f","true","180","180","or","repetition","congruent"
"711","f","true","180","180","or","repetition","congruent"
"755","j","false","180","180","mov","switch","congruent"
"858","j","false","180","180","mov","repetition","congruent"
"1139","j","true","180","0","or","switch","incongruent"
"709","j","true","0","0","mov","switch","congruent"
